accepted,actual_delta_cost_fp64,actual_delta_norm,arithmetic_CPU_threads,batch,batch_index,checkpoint_bundle_bytes,checkpoint_payload_sha256,commit_seconds,cost_relative_error,edit_abs_error,evaluation_seconds,flow_seconds,history_append,history_sha256,kl_abs_error,logit_relative_l2,max_logit_abs,missing_interrupted_timing,model_forward_calls,oracle_calls,peak_gpu_allocated,peak_gpu_reserved,preparation_seconds,recovery,rejected,request_count,saved_actual_cost_recomputed_fp64,saved_delta_norm_recomputed_fp64,saved_history_fp32_one_gram_equal,solver_status,terminal_C,terminal_F,terminal_L,total_seconds,weight_sha256
16,0.7168214832596178,11.973483062703062,8,B001,1,1070163886,2858b87f701a7dd010df4136108c5e2f54d85e63d367890078b6d86b228b179b,62.998756028711796,4.798780270471118e-05,2.7007384549235236e-09,44.19417635630816,907.0304166032001,1,aa7aa5dc7205eba1ac937fc577be7c942071a636eaefbb61cb2b29aaeb85afc4,4.672275760730926e-08,2.095528415168754e-06,9.042024612426758e-05,,0,25,36245733888,36721131520,27.875590609386563,False,8,100,0.7168214832596178,11.973483062703062,True,RESOURCE_STOP,0.7168558835983276,0.7413297242490475,0.024473840650719912,1046.5778965866193,8c7f55fde473bed5493e1e726b27c81f844f035da09d59cc775e96703aeb29ed
15,0.6577439276646282,11.443732685850618,8,B002,2,1070164051,6158e6fa9c13fd1cbf2f8e63045e7d1d7ba93e964ebccd63520e945f41bf61ba,66.70972688216716,4.612815918173215e-05,1.0688769792877029e-08,41.66951890941709,914.5614239545539,1,c1f2ada494f3750c3c31c27fffe6689f4fd1802a684a8806651961c2af058755,2.346618427351288e-08,2.2570658419832977e-06,8.869171142578125e-05,,0,25,36254253568,40865103872,28.386180887930095,False,9,100,0.6577439276646282,11.443732685850618,True,RESOURCE_STOP,0.6577742695808411,0.701206287386422,0.04343201780558098,1055.756257649511,7f0babdbf9f473f73514c86c27985b5b37909eb89891be7c889ed1b14f7e10df
16,0.3754396096767402,8.640141366097007,8,B003,3,1070164128,630631dcaf4ca5abab41cc3279a299ef1e0d1067383c7b8eefb21801b839c5fa,66.23424975760281,4.660544085710915e-05,5.013134797907104e-09,42.61866397969425,905.1805309718475,1,036ebc40c86ceb4d18978da208582392786e63a9c3ec7d84b10a74bf5d26fa8d,2.4469922282888135e-08,2.2069373845157093e-06,8.916854858398438e-05,,0,25,36254253568,40865103872,27.85612234286964,False,8,100,0.3754396096767402,8.640141366097007,True,RESOURCE_STOP,0.37545710802078247,0.39385679618808306,0.018399688167300574,1046.4471591012552,5ac098811ea102d54e640269325d80413108b06a8d68deb1043d8b764506e1ff
15,0.4211720498699012,9.142110748589324,8,B004,4,1070164109,0429da94f1d8990444e07816b0db8541c05509d8ce6ecbacddd78762e856a7f0,66.6126476880163,4.522041446986813e-05,5.747751856237382e-08,43.25128889456391,909.9743790589273,1,face8ab86a862063e7eac55e0eafe34503f590e84cf56d599c291729ec899dca,1.5454512725110447e-07,2.337560925820483e-06,9.441375732421875e-05,,0,25,36254253568,40865103872,28.098145610652864,False,9,100,0.4211720498699012,9.142110748589324,True,RESOURCE_STOP,0.42119109630584717,0.4583952293868149,0.03720413308096769,1052.4465879881755,12a8c52042aa1fd10b5a330d7d8b926df0a725c5cca641d9750fd9b57c2f34fb
15,0.3648996704406076,8.507084140606906,8,B005,5,1070164121,115e66ece6388c740c7d5ededb711c319096b12eabb0aac6f0ba2741a053f710,66.04410223197192,4.759829964184454e-05,1.4572433437026744e-08,249.87748732045293,908.3528786040843,1,3c88616047ae4ec5b878dfaad92ebb2cd8166bb941664ee94e7076d700faa782,8.030427398053597e-08,2.2282050514457485e-06,8.7738037109375e-05,,0,25,36254253568,40865103872,28.164712194353342,False,9,100,0.3648996704406076,8.507084140606906,True,RESOURCE_STOP,0.3649170398712158,0.3981069018095128,0.03318986193829701,1256.9864692799747,396e6bccf16d731dc710f207454459eaee88a7389287b7d376b198cc6736573b
16,0.30744645220156525,7.798777726432327,8,B006,6,1070164098,b135975809cc724c28c08e5b2733bb7ce3317b30183a8d38495d333534ae5f97,66.73407495580614,4.584097740593959e-05,2.498369819185775e-09,43.31871070899069,916.7523205848411,1,550296511aac32f6711f1ad7bba2df114ef53a4976ff6370ea54bd2313b0bd4c,3.730746120367279e-08,2.3959381431560592e-06,0.0001068115234375,,0,25,36254253568,41106276352,28.22466574329883,False,8,100,0.30744645220156525,7.798777726432327,True,RESOURCE_STOP,0.3074605464935303,0.3238968936260187,0.01643634713248844,1059.5548833794892,cc65022cd0d2850c6e5bc47ecb3a599d33aafcab3495d201c8d64d0f854d67f6
15,0.32822154322648023,8.034942332206287,8,B007,7,1070164125,22cf2b2e6184b0b493f9921799a224a135149863ebde62fc5d903586e94d74ab,66.79100978560746,4.535650380823525e-05,4.76541268945585e-09,43.77763430029154,916.5342645915225,1,56ee2dd169b12044ebf1c61b63d2cfbaffdfebd954e472f97439b7df2c9037a9,3.0224497432618236e-08,2.3691892021149243e-06,9.012222290039062e-05,,0,25,36254253568,41106276352,28.24504366889596,False,9,100,0.32822154322648023,8.034942332206287,True,RESOURCE_STOP,0.3282364308834076,0.3639965343470862,0.03576010346367856,1060.170857252553,d3eb36947afdba92f9ddb1af5af8fbd3cbe1c41a4663d813f4ec51c1e2b2f33d
15,0.2154528263191397,6.517205972768432,8,B008,8,1070164127,59b46fc86f9404bb590d2c6ee46effa4a4c99dd29b8d8b84e74f0d8eb95111ff,66.8659075954929,4.603077384862363e-05,3.03215347101371e-08,43.25158819742501,917.7800021478906,1,001e62e58df7a14592a298a9e8e431e0fcb366d6475ad33feaea1453e37620cc,1.765254481478351e-08,2.5107300938736363e-06,9.250640869140625e-05,,0,25,36254253568,41106276352,28.650231522507966,False,9,100,0.2154528263191397,6.517205972768432,True,RESOURCE_STOP,0.21546274423599243,0.24964978459548248,0.034187040359490044,1061.0901255458593,3f07dc5c4ef2c238d8314b72b1235b722010f080439ddf7178717ac21af557d8
16,0.278962496637317,7.397028311246001,8,B009,9,1070164107,a8cd2e3f102ef599c52103b43fc1c07e7701737624f5ec80e6f011be8b9c439a,66.38167571742088,4.6029539908537416e-05,1.3212411546781322e-09,41.70155347045511,914.4428536798805,1,bf3c53e106d8008e60a13f3e252112c1d8289d7ed3dc4e40e741a231618de20f,4.1705927766866324e-08,2.4828279496184766e-06,0.00010061264038085938,,0,25,36254253568,41106276352,28.061517043039203,False,8,100,0.278962496637317,7.397028311246001,True,RESOURCE_STOP,0.27897533774375916,0.3211156058906737,0.04214026814691455,1054.909618254751,8d079293b253fa383a2a254a080104a68dcad7120c05b3d468ff49b1c9c2181f
15,0.3504938028253299,8.276211657478934,8,B010,10,1070164148,6dea3c6ce262b32d300326900a0e6542bcb6d6447aee0b9414bf0af6c8b0a144,66.86497681587934,4.4173156348843044e-05,3.46325881167564e-09,462.4514600383118,913.264995998703,1,0607d1f3b48e0e68df482e71a2ed92e5e1871548b46b8af5ef9cc2dfc217cecd,9.301828565733139e-08,2.4038291040882874e-06,8.96453857421875e-05,,0,25,36254253568,41106276352,28.11956561729312,False,9,100,0.3504938028253299,8.276211657478934,True,RESOURCE_STOP,0.35050928592681885,0.37539686965020336,0.024887583723384517,1475.4631037646905,b078d387d72f54e2fa9cf74db7b3fead3b211178d2147be7ec19fc091769058b
