evidence,execution_source,file,function,limitation,line,requirement,source_sha256,verdict
G00..G70/gate-result.json,3ebe0b07078940c2d46f9ea2226ccc20c0446162,/data/janghj/ODE-edit/local/native-delayed-write-e3/20260924-v1/execution-source-r1/project/run_scripts/native_delayed_write_e3/stages.py,Run.gate,source/input/predecessor SHA and11 receipts; no missing stage,28,DAG/source/data/panel binding,89919878d0ad43ddf06526b570e59b4cbda7595cdea1552b2c27b12388e323e5,PASS_STORED_CHAIN
submission.json; held-inspection.json,3ebe0b07078940c2d46f9ea2226ccc20c0446162,/data/janghj/ODE-edit/local/native-delayed-write-e3/20260924-v1/execution-source-r1/project/run_scripts/native_delayed_write_e3/control.py,submit,only two jobs; internal DAG; no invalid downstream GPU job,23,afterany collector not science bypass,664a70a5d941266ee0ee2cfb316b9dbff6d36b811c3d64e041459eb533bfbb88,PASS_SOURCE_AND_RECEIPT
execution.lock; G10; original CP metadata,3ebe0b07078940c2d46f9ea2226ccc20c0446162,/data/janghj/ODE-edit/local/native-delayed-write-e3/20260924-v1/execution-source-r1/project/run_scripts/native_delayed_write_e3/backend.py,Backend.__init__,current stat+prior SHA; no new CPU fullCP/hash/model load,34,BASE endpoint/FP32/original revision,fb6c992bc4010bd770e7cc168886d67b71bcb0213997decd6201ead8f7a1707f,PASS_RUNTIME_RECEIPT
G10/gate-result.json,3ebe0b07078940c2d46f9ea2226ccc20c0446162,/data/janghj/ODE-edit/local/native-delayed-write-e3/20260924-v1/execution-source-r1/project/run_scripts/native_delayed_write_e3/stages.py,Run.g10,"16 rewrite prompts per family, true/new; not full-panel/model parity",74,G10 original/repeat/zero-hook,89919878d0ad43ddf06526b570e59b4cbda7595cdea1552b2c27b12388e323e5,PASS_BOUNDED
G20; G21; layer-key-drift,3ebe0b07078940c2d46f9ea2226ccc20c0446162,/data/janghj/ODE-edit/local/native-delayed-write-e3/20260924-v1/execution-source-r1/project/run_scripts/native_delayed_write_e3/stages.py,Run.e1,25 endpoints×3306; L4 keydelta0; physical all-valid-token,143,E1 coverage+L4 key invariance,89919878d0ad43ddf06526b570e59b4cbda7595cdea1552b2c27b12388e323e5,PASS_STORED_ROWS
layer-key-drift/*/*.json,3ebe0b07078940c2d46f9ea2226ccc20c0446162,/data/janghj/ODE-edit/local/native-delayed-write-e3/20260924-v1/execution-source-r1/project/run_scripts/native_delayed_write_e3/stages.py,Run.drift,mapping relative; s1 split only; full K/v and additional contractions not stored,108,W0/direct+drift and s1 history split,89919878d0ad43ddf06526b570e59b4cbda7595cdea1552b2c27b12388e323e5,PASS_SCALAR_RECOUNT
G30/G50; module-interaction-checks,3ebe0b07078940c2d46f9ea2226ccc20c0446162,/data/janghj/ODE-edit/local/native-delayed-write-e3/20260924-v1/execution-source-r1/project/run_scripts/native_delayed_write_e3/backend.py,Backend.hybrid,a0 FP64 subtract thenFP32; actual11 exact original Wt; no independent tensor reconstruction,91,Four corners A=L8 B=L4..7,fb6c992bc4010bd770e7cc168886d67b71bcb0213997decd6201ead8f7a1707f,PASS_SOURCE_BOUND
39672 module rows,3ebe0b07078940c2d46f9ea2226ccc20c0446162,/data/janghj/ODE-edit/local/native-delayed-write-e3/20260924-v1/execution-source-r1/project/run_scripts/native_delayed_write_e3/stages.py,Run.factorial,maxrelative1.9505194609058857e-6; nonlinear NLL interaction separately recomputed,173,K identities / module cross,89919878d0ad43ddf06526b570e59b4cbda7595cdea1552b2c27b12388e323e5,PASS_RECORDED_SCOPE
G40/G60; patch-coverage,3ebe0b07078940c2d46f9ea2226ccc20c0446162,/data/janghj/ODE-edit/local/native-delayed-write-e3/20260924-v1/execution-source-r1/project/run_scripts/native_delayed_write_e3/stages.py,Run.patch,72modified; per-token RMS runtime assertion; CPU chunk norm and coverage check,215,Alltoken patch/dose/rotation,89919878d0ad43ddf06526b570e59b4cbda7595cdea1552b2c27b12388e323e5,PASS_LEDGER_AND_ROWS
row token predictions/NLL; General scalars,3ebe0b07078940c2d46f9ea2226ccc20c0446162,/data/janghj/ODE-edit/local/native-delayed-write-e3/20260924-v1/execution-source-r1/project/run_scripts/native_delayed_write_e3/backend.py,Backend.forward,"KL teacher RAM-only, not independently recomputed; not free generation",116,Allvocab TF/General KL,fb6c992bc4010bd770e7cc168886d67b71bcb0213997decd6201ead8f7a1707f,PASS_TOKEN_RECOUNT_KL_SOURCE_BOUND
