arm,surface,B,Eff,Gen,strict,Loc,rewrite_mean,rephrase_mean
FZ,z,1,1.0,0.975,0.96,0.891,0.06185388650472305,1.2815971935761992
FZ,z,2,1.0,0.985,0.97,0.911,0.005750564060344914,1.290559892048641
FZ,z,3,1.0,0.975,0.95,0.888,0.00267772072525986,1.2198097488383792
FZ,z,4,1.0,0.93,0.9,0.847,0.00995932143940081,1.5514148830682644
FZ,z,5,1.0,0.945,0.92,0.87,0.003472847846969671,1.4027462296115483
FZ,z,6,1.0,0.97,0.95,0.814,0.010881671340994216,1.3283534513199264
FZ,z,7,1.0,0.95,0.9,0.86,0.004110163567238487,1.3699512662603957
FZ,z,8,1.0,0.97,0.95,0.817,0.016981228940494475,1.404534155272786
FZ,z,9,1.0,0.97,0.95,0.863,0.05823620570095955,1.1748160473064855
FZ,z,10,1.0,0.95,0.93,0.88,0.004551117310420523,1.2850794099656924
FZ,W,1,1.0,0.915,0.86,0.836,0.057178174464352194,1.9047823133426574
FZ,W,2,1.0,0.88,0.8,0.865,0.009097874215367483,2.2117728584131715
FZ,W,3,1.0,0.82,0.71,0.87,0.00724781774191797,2.3526147917444176
FZ,W,4,1.0,0.865,0.79,0.844,0.12472356474065237,2.4093665418161616
FZ,W,5,1.0,0.825,0.74,0.846,0.0028683383611678437,2.420948913871971
FZ,W,6,1.0,0.815,0.73,0.806,0.012665630768251503,2.86822223377334
FZ,W,7,1.0,0.845,0.75,0.85,0.004532923240690252,2.4148965149352626
FZ,W,8,1.0,0.865,0.77,0.813,0.016158621257873165,2.46860300334316
FZ,W,9,1.0,0.84,0.73,0.858,0.06073395535679992,2.2179416159931677
FZ,W,10,1.0,0.795,0.66,0.881,0.004599902374047815,2.7721518982795352
PDZ,z,1,1.0,0.975,0.96,0.884,0.09447906754619907,1.5925112724897916
PDZ,z,2,1.0,0.965,0.93,0.915,0.052400734012480826,1.5333550764300161
PDZ,z,3,1.0,0.965,0.95,0.892,0.031663825809955595,1.3649374910764163
PDZ,z,4,1.0,0.955,0.93,0.841,0.02237369329028297,1.5373639054916566
PDZ,z,5,1.0,0.965,0.94,0.87,0.024296608966833447,1.528400006071606
PDZ,z,6,1.0,0.975,0.96,0.824,0.025874827392981387,1.3578381833410822
PDZ,z,7,1.0,0.965,0.93,0.857,0.029963021251023746,1.4002244001394137
PDZ,z,8,1.0,0.965,0.95,0.826,0.04279583696566988,1.4645275138504803
PDZ,z,9,1.0,0.98,0.97,0.863,0.027517177442787213,1.163679659057525
PDZ,z,10,0.99,0.945,0.92,0.889,0.14124148861301364,1.5353499342233408
PDZ,W,1,1.0,0.875,0.81,0.843,0.09278125599143096,2.3205046282336115
PDZ,W,2,1.0,0.855,0.76,0.871,0.05838395302183926,2.492497827623738
PDZ,W,3,1.0,0.855,0.78,0.86,0.03509363202378154,2.5046509433572646
PDZ,W,4,1.0,0.87,0.81,0.842,0.08873171345068841,2.4612051345605868
PDZ,W,5,1.0,0.82,0.71,0.848,0.022509186966344713,2.6935281397210202
PDZ,W,6,1.0,0.805,0.68,0.803,0.025216563715657683,2.978795001185499
PDZ,W,7,1.0,0.845,0.72,0.85,0.027777839814079927,2.7024854493746533
PDZ,W,8,1.0,0.855,0.75,0.818,0.0418372291912965,2.6205588442704175
PDZ,W,9,1.0,0.83,0.71,0.856,0.02773746542574372,2.374025317640626
PDZ,W,10,0.99,0.765,0.64,0.888,0.1394811455369927,3.1620439718838314
