W_sha256,age,alias,arm,at_batch,at_write_success,at_write_success_now_failure,batch,case_id,cohort,controller_influence_count,input_identity_sha256,margin,new_nll,overwrite_candidate,previous_failure_now_recovery,prompt_index,state_sha256,strict,success,true_nll
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,0,llama3-8b-inst,O_NATIVE,1,True,False,1,16186,1,0,7bf0e9ae537d130ecb87f995894e0a28e3ef4f74f42b9614223b544ed4cc1782,12.646854190854356,0.0007307243067771196,False,False,0,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,True,12.647584915161133
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,0,llama3-8b-inst,O_NATIVE,1,True,False,1,3743,1,0,b42175f79794baeed0618dba456a60e44f6b5ec91365cc9c8390e1f63fe23067,15.337184524862096,0.0006555553991347551,False,False,0,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,True,15.33784008026123
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,0,llama3-8b-inst,O_NATIVE,1,True,False,1,1481,1,0,7483bd16c2776da0c223382cde2a195ae1a28115adf0ae4d0c57c6d4b9fc23ae,17.09466225875076,0.0014299653703346848,False,False,0,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,True,17.096092224121094
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,0,llama3-8b-inst,O_NATIVE,1,True,False,1,18140,1,0,e3f0d0a86a6a31f833f15041bc539012db7b0521060e43b62798d6098fc85e22,15.643327437806875,0.005619324278086424,False,False,0,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,True,15.648946762084961
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,0,llama3-8b-inst,O_NATIVE,1,True,False,1,5506,1,0,190b221f579d7a2673d138bc17fe7b8d5cef0f7a54f45e18dee672673b7500a7,12.336841959389858,0.0007167869480326772,False,False,0,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,True,12.33755874633789
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,0,llama3-8b-inst,O_NATIVE,1,True,False,1,14521,1,0,a3a45d2e0b7c7a3c5c9d0d82dd693b001eee1bfcd84b7e1d71777a0672cd471c,15.785910743521526,0.0009945451747626066,False,False,0,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,True,15.786905288696289
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,0,llama3-8b-inst,O_NATIVE,1,True,False,1,14349,1,0,6187d1a9da5e7f216b8e46a1d084784cff359eaa40a684674016c7ea55805f76,9.556003434001468,0.001278060139156878,False,False,0,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,True,9.557281494140625
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,0,llama3-8b-inst,O_NATIVE,1,True,False,1,16334,1,0,7c53cc71b8c742fa5b644d760b124f96ee77d7b26b5a693e18ea632ae18f391a,15.274004101811443,0.0009764432325027883,False,False,0,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,True,15.274980545043945
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,0,llama3-8b-inst,O_NATIVE,1,True,False,1,6882,1,0,d1613d87621bef0815daa171ec2671efee7bbcb8958bb332cd87b08f6218353f,12.443096110509941,0.00037102968781255186,False,False,0,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,True,12.443467140197754
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,0,llama3-8b-inst,O_NATIVE,1,True,False,1,6620,1,0,8261eca74682f2b73dd18a6709e70b319ad6d1837d920d76edc134b88cd056e8,14.300896686618216,0.0002898749662563205,False,False,0,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,True,14.301186561584473
