cell_id,policy,batch,ordinal_start,ordinal_stop,entry_origin,target_update_caps,write_gammas,target_mode,history_appends,execution_route,checkpoint,suffix500_eval,fullseen6000_eval
SEQ1000-N4-B051,N4,51,5000,5100,COMMON_W50,24,1.0,native_fresh_batch_entry,1,existing_seq10_if_comparison_closure_matches,True,False,False
SEQ1000-N4-B052,N4,52,5100,5200,OWN_PREVIOUS_BATCH_ENDPOINT,24,1.0,native_fresh_batch_entry,1,existing_seq10_if_comparison_closure_matches,False,False,False
SEQ1000-N4-B053,N4,53,5200,5300,OWN_PREVIOUS_BATCH_ENDPOINT,24,1.0,native_fresh_batch_entry,1,existing_seq10_if_comparison_closure_matches,False,False,False
SEQ1000-N4-B054,N4,54,5300,5400,OWN_PREVIOUS_BATCH_ENDPOINT,24,1.0,native_fresh_batch_entry,1,existing_seq10_if_comparison_closure_matches,False,False,False
SEQ1000-N4-B055,N4,55,5400,5500,OWN_PREVIOUS_BATCH_ENDPOINT,24,1.0,native_fresh_batch_entry,1,existing_seq10_if_comparison_closure_matches,True,True,False
SEQ1000-N4-B056,N4,56,5500,5600,OWN_PREVIOUS_BATCH_ENDPOINT,24,1.0,native_fresh_batch_entry,1,existing_seq10_if_comparison_closure_matches,False,False,False
SEQ1000-N4-B057,N4,57,5600,5700,OWN_PREVIOUS_BATCH_ENDPOINT,24,1.0,native_fresh_batch_entry,1,existing_seq10_if_comparison_closure_matches,False,False,False
SEQ1000-N4-B058,N4,58,5700,5800,OWN_PREVIOUS_BATCH_ENDPOINT,24,1.0,native_fresh_batch_entry,1,existing_seq10_if_comparison_closure_matches,False,False,False
SEQ1000-N4-B059,N4,59,5800,5900,OWN_PREVIOUS_BATCH_ENDPOINT,24,1.0,native_fresh_batch_entry,1,existing_seq10_if_comparison_closure_matches,False,False,False
SEQ1000-N4-B060,N4,60,5900,6000,OWN_PREVIOUS_BATCH_ENDPOINT,24,1.0,native_fresh_batch_entry,1,existing_seq10_if_comparison_closure_matches,True,True,True
SEQ1000-REFIT4-B051,REFIT4,51,5000,5100,COMMON_W50,24+24,0.75+1.0,fresh_current_stage,1,existing_seq10_if_comparison_closure_matches,True,False,False
SEQ1000-REFIT4-B052,REFIT4,52,5100,5200,OWN_PREVIOUS_BATCH_ENDPOINT,24+24,0.75+1.0,fresh_current_stage,1,existing_seq10_if_comparison_closure_matches,False,False,False
SEQ1000-REFIT4-B053,REFIT4,53,5200,5300,OWN_PREVIOUS_BATCH_ENDPOINT,24+24,0.75+1.0,fresh_current_stage,1,existing_seq10_if_comparison_closure_matches,False,False,False
SEQ1000-REFIT4-B054,REFIT4,54,5300,5400,OWN_PREVIOUS_BATCH_ENDPOINT,24+24,0.75+1.0,fresh_current_stage,1,existing_seq10_if_comparison_closure_matches,False,False,False
SEQ1000-REFIT4-B055,REFIT4,55,5400,5500,OWN_PREVIOUS_BATCH_ENDPOINT,24+24,0.75+1.0,fresh_current_stage,1,existing_seq10_if_comparison_closure_matches,True,True,False
SEQ1000-REFIT4-B056,REFIT4,56,5500,5600,OWN_PREVIOUS_BATCH_ENDPOINT,24+24,0.75+1.0,fresh_current_stage,1,existing_seq10_if_comparison_closure_matches,False,False,False
SEQ1000-REFIT4-B057,REFIT4,57,5600,5700,OWN_PREVIOUS_BATCH_ENDPOINT,24+24,0.75+1.0,fresh_current_stage,1,existing_seq10_if_comparison_closure_matches,False,False,False
SEQ1000-REFIT4-B058,REFIT4,58,5700,5800,OWN_PREVIOUS_BATCH_ENDPOINT,24+24,0.75+1.0,fresh_current_stage,1,existing_seq10_if_comparison_closure_matches,False,False,False
SEQ1000-REFIT4-B059,REFIT4,59,5800,5900,OWN_PREVIOUS_BATCH_ENDPOINT,24+24,0.75+1.0,fresh_current_stage,1,existing_seq10_if_comparison_closure_matches,False,False,False
