metric,case_id,prompt_index,identity,standalone_E4,standalone_E8,standalone_E48,signed_L4,signed_L8,interaction,signed_sum_residual,signed_sum_roundoff_bound
RS,18246,0,07ba7e7a60b1028ff2af33a38bd8fc47f09d3f02f7daf7894555c49321049193,6.091929227113724,-5.988006591796875,6.5316048848908395,9.305770351900719,-2.7741654670098796,6.427682249573991,0.0,3.3060737620973836e-14
RS,6208,0,dbaf4bda6a90fbcf48d2e2961e0fc08d3f9fe24c99677b0989225c2dea955b97,2.877311810851097,2.5268169045448303,2.874151609838009,1.6123232580721378,1.261828351765871,-2.5299771055579185,0.0,1.4705179874201833e-14
RS,17272,0,76342b1e0a5116a38b68ca6c901088f71ea8b2989453b151d9f85f9d60eabb06,14.244816541671753,14.984829366207123,15.41773833334446,7.338862754404545,8.078875578939915,-13.811907574534416,0.0,7.930968635822803e-14
RS,5149,0,58fc5a02860b988c14d0c7c46790c6aca51b5cebdf697ac9758c614ebf399270,3.743939995765686,2.8037102222442627,3.9802277088165283,2.460228741168976,1.5199989676475525,-2.5674225091934204,0.0,1.8701267959689142e-14
RS,16709,0,e5b251c5051cbd980154232176a155be3b93cd4f995801260440c14258492136,5.032364130020142,-0.9907717704772949,6.222568482160568,6.122852191329002,0.09971629083156586,2.1809761226177216,0.0,2.175274073340817e-14
RS,17483,0,b3d4f68ca48147d469722837d0a17705d9e474fd706335e699d3d9c64d032038,4.9438034147024155,-2.994558811187744,5.120091050863266,6.529226638376713,-1.4091355875134468,3.1708464473485947,0.0,2.319647279014956e-14
RS,9090,0,3d6a1063aac2982ab3152c1b42870c238bae3795c38d22dc3f9d619043e6983a,4.451976299285889,7.296208932530135,7.297554858261719,2.2266611125087366,5.070893745752983,-4.450630373554304,0.0,3.383203067044914e-14
RS,4395,0,c78cd7c1cb3f0e4a28959fc280f65b89f1e618ef4d1de8d7f8b667ccc5c1b35f,8.155184626579285,-1.7541131973266602,8.98635981976986,9.447828821837902,-0.46146900206804276,2.585288390517235,0.0,3.3565430690309136e-14
RS,14590,0,c67410519e43d292776766a5f7f257f6f00ac864c7e8070a20c6c1c7d9cf25fa,4.535481505095959,-0.758389949798584,4.605446930043399,4.949659192468971,-0.3442122624255717,0.8283553747460246,0.0,1.7584721918485155e-14
RS,7812,0,e0e43d69a0bc005dc08556199f6009dc21cee0eb7e64e64d77d5db0eedab9fff,0.5827021598815918,6.374902725219727,4.646077394485474,-0.5730615854263306,5.219138979911804,-2.3115274906158447,0.0,2.0612280379571487e-14
RS,821,0,6567a1fc057f76234e2f4f5c2b3bc28ca445ca6694939a55e2399831f973ab07,9.73472449183464,10.102766731288284,9.97392164170742,4.802939701126888,5.170981940580532,-9.863569581415504,0.0,5.2955707134626e-14
RS,13931,0,c0b28e1ff5b65fae7d564c7315ed194fc7c3e1b04a78844f2b4b045bde1f8ff7,13.151444911956787,14.835370000626426,14.833381016971543,6.574727964150952,8.258653052820591,-13.15343389561167,0.0,7.606394790392336e-14
RS,11695,0,944bec557e81caff0b82d9ffc17e34360410398f4c8eaa0aedea2ff91c374e02,9.29915189743042,9.366281295893714,9.313036862760782,4.622953732148744,4.690083130612038,-9.352396330563352,0.0,4.969974664008155e-14
RS,9277,0,1bd782cd35b639b20c6079d8c0646de563f2ee5a167f7cb885d4d01fd0a18b0e,12.44276862544939,12.440690165851265,12.44456311315298,6.223320786375552,6.221242326777428,-12.438895678147674,0.0,6.630788701125858e-14
RS,19560,0,e5e39a218c4c5f347df77ffe32b229066f51e39abbafc05c20a1fc871ca88567,15.952805548906326,15.727142930030823,15.977025359869003,8.101343989372253,7.87568137049675,-15.702923119068146,0.0,8.465579142368212e-14
RS,3,0,398c1c8dc9acb25b629245ee08c2ccae7629931b2824f1b01997206aa770b022,3.2246932983398438,7.181487083435059,7.518159866333008,1.7806830406188965,5.737476825714111,-2.8880205154418945,0.0,3.184002439146367e-14
