identity,case_id,prompt_index,before_success,after_success,lost,gained,new_nll_delta,true_nll_delta,desired_margin_delta
46465971ba49b73b13cdee5b23712d370b0946756596f5d426044636e6967d36,16186,0,True,True,False,False,0.0,0.0,0.0
c6945038aa07fee1af77f25ed237680cae8228b03b14e5bcb70c7e437f898f5f,16186,1,True,True,False,False,0.0,0.0,0.0
853b09610a71029b243d039d48aa9f85f5e3e09878f3a4ec9c73fe0566fe40ab,16186,2,True,True,False,False,0.0,0.0,0.0
e3d31a4d26aa33fc6fd847993ac4389a9e771341c8f9c61d835a7dec3666b8ee,16186,3,False,False,False,False,0.0,0.0,0.0
bd2dee3cd824b79f1794340204be2d9996d696ab58ffcdf1cf015d70661dd802,16186,4,True,True,False,False,0.0,0.0,0.0
208796cced86af3bc8df7d503285f233b714a52b9ab245d5360bed5de123ec42,16186,5,False,False,False,False,0.0,0.0,0.0
9b6ea41ae7a72dcfafd726bac575240ac4ac54ac3d3f2ccc0b7dc6e56ac84dc6,16186,6,True,True,False,False,0.0,0.0,0.0
7b2604f285a9206db52efeeb0c64903f4cfe71a0c1f176273d8af043d617f18c,16186,7,True,True,False,False,0.0,0.0,0.0
cf471eec2c6aa472478291813696509d3609f08a0daa9362f2feae330e4ceae2,16186,8,True,True,False,False,0.0,0.0,0.0
c30ae09ae6da836e8e9bf9f8916a022390b155937ba9aec1333e9d28d4511016,16186,9,True,True,False,False,0.0,0.0,0.0
216dab1e3cef7ab224e40de71bbbf490fe36afb8f2bb740ecb54bd234d5903ba,3743,0,True,True,False,False,0.0,0.0,0.0
17ebbfb850173c6429d1bd0938fde1032fef50082864471bbe7e96c25909eb1b,3743,1,True,True,False,False,0.0,0.0,0.0
de75127a1dd7df4dfad1b642de0cf45fbe229bc7edbea589854abac15d5a88d8,3743,2,True,True,False,False,0.0,0.0,0.0
321b622cf8e494337132a498116285c2a8d7a7b84a85046d64c0ab5e1b199e83,3743,3,True,True,False,False,0.0,0.0,0.0
7e493f07d71427ce1f139507fb3ed72e62c878aa9157a00fa961961a88d47fa6,3743,4,False,False,False,False,0.0,0.0,0.0
b4b9937746f3d3233f13a0d167e1a80fae149b514d18d93e9e13de915dd21d52,3743,5,True,True,False,False,0.0,0.0,0.0
7b9aba337d7de1fa5d50e188ab0dbaa5f0560ba40c9573919159986a01790c9b,3743,6,True,True,False,False,0.0,0.0,0.0
3cc719aa64ba08bca5ab6ded14ad48a7898d698b08131d88880675f0284f267e,3743,7,True,True,False,False,0.0,0.0,0.0
e266626a8da165c2ce4f8545229fdf727493e7fe4dcee9a9599ba6ef5855d91f,3743,8,True,True,False,False,0.0,0.0,0.0
ced62903232043d7a9c1222ddd5220f5cc9946a280fdbdb6639e05028e0c3b1f,3743,9,True,True,False,False,0.0,0.0,0.0
92383f8df58c4f4ed03201928f04af9032f47253c286c72e886bdbbac4d359a9,1481,0,True,True,False,False,0.0,0.0,0.0
c7a43b555d643ad91af574b7ce22076ee63ed672fa90fcd083d990e8c9aac842,1481,1,True,True,False,False,0.0,0.0,0.0
44034a5e2549a79287273ee834110fc0771cae6050352ad21dd6fea3111b8235,1481,2,True,True,False,False,0.0,0.0,0.0
020c844db6f8a925897bd3fea07625ce34298fe1ac795266947f2c8b0276fd35,1481,3,True,True,False,False,0.0,0.0,0.0
a47bbb06ee05888f7a999567c629a47870efad9c9cee01adbb67c08c8decd538,1481,4,True,True,False,False,0.0,0.0,0.0
517f30749c7752bf4ea7bb3e0f7dff964d25de2a40a2bad081d47b9e242636ce,1481,5,True,True,False,False,0.0,0.0,0.0
6e73c5b36d62b0263764393162890d5bbbd091a6cf275b298be01bc840ae1f6a,1481,6,True,True,False,False,0.0,0.0,0.0
720b57639de5f8b48d8ce7ea9bad450e5bd81fe199cab234d8c5fd2f3fd2a387,1481,7,True,True,False,False,0.0,0.0,0.0
d07d9cf7031c8c8ee26534b7636227dd017303490df3f8eeb858b8601f3cbbed,1481,8,True,True,False,False,0.0,0.0,0.0
3980a0a5033e7df11baa8590df427dac5c3009b4581c8740fc1f1a7e26739b67,1481,9,True,True,False,False,0.0,0.0,0.0
ec656dad0a32bbf291b09770648ab217e7831fbee6e44d402d5b0702976555bf,18140,0,False,False,False,False,0.0,0.0,0.0
f6a64bb71ffbc724c73196d6bbfda7c8a33988a6273424af1dd1b4c0f5a59b2c,18140,1,False,False,False,False,0.0,0.0,0.0
8ef9fe1659f9c8f337aaf815d216989d4a8076d444ec09a68159e5aa944e930f,18140,2,True,True,False,False,0.0,0.0,0.0
5b8e348b60d80097e1039650556091f9eed6757cfe36fb70a681404e3043f533,18140,3,False,False,False,False,0.0,0.0,0.0
93e30ce6563af25c396bd71fd11da73c67bc67ed4b180f7d9ff80f613e3de1f6,18140,4,True,True,False,False,0.0,0.0,0.0
cba7c8d4756ee87259949f7373b70e2b90db8440dc2c48b02aad41e5e9b5a2d9,18140,5,False,False,False,False,0.0,0.0,0.0
f10d09bca775674c7ca8e7823291d515cd70f0bb441446ac6c3166c781e944e8,18140,6,False,False,False,False,0.0,0.0,0.0
f106da78b0cf9552762394ee946ef910713160b2e958bf74170a186a551e8cca,18140,7,False,False,False,False,0.0,0.0,0.0
ec64bb4d74732befd792c659c1f361b0b55ecfc1b7cd96590d3418eebe25fd53,18140,8,False,False,False,False,0.0,0.0,0.0
e0fa5777b8b5e988e3b33f9cba78b788d3f7d82cba1a484577f980b79f4ce8f2,18140,9,False,False,False,False,0.0,0.0,0.0
c3599fc19da14cc903803f55ffabb80837e7bfebd77b9e50c237408ff9e48222,5506,0,True,True,False,False,0.0,0.0,0.0
cd851f7fbb10412c03f0e5d0e25e238ce41a32b68cb59de90f220158cff9c17d,5506,1,True,True,False,False,0.0,0.0,0.0
cff5a2ce2b54fb666eaae2f34f3b99e46ff768e089e9f07cba5dc4b991aa8f8a,5506,2,False,False,False,False,0.0,0.0,0.0
f2eb78c1232c08bbdfbd2715db3f7acab0c7ebeabea981acd0e0d0539039139f,5506,3,True,True,False,False,0.0,0.0,0.0
429de9c0e0323dbecc9374ad30210aaa7c99b3fc5429dec780757e7cbab3dc98,5506,4,False,False,False,False,0.0,0.0,0.0
15b6cbba627d7f5b5da00d2dc648bd57b2b4858a88206c19bab037370e403cba,5506,5,True,True,False,False,0.0,0.0,0.0
