case_id,entries,identity,new_nll_range,occurrences,panels,success_disagreement,true_nll_range
14521,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0061e769988ad66e1c045612d4ff7dcadc58ebdb52cafeac2d55dba3c10ea668', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
3913,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '00c25f0211abd152953c140f19d4038377c99254de891cabf5e8768534bf7745', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
16334,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '00d2dfe668582e4de0c639bf9f29f1ad7503959caa1f3274368f987dcfd6d2cd', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
12141,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '00db7a242bf56b44d3d559166b90bc391ea380878d55b9aadae418f84fc6786f', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
8549,"[""Early"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '00e71151197f6929423635937a310b97301f2f51ca7a615849ac3f5a7b035d3b', 'NS')",0.0,2,"[""Past100"", ""Past100""]",False,0.0
3935,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '010dec07b8439da17cf1cc128bb1609f39bdb0da914fd2cdfcfcd47fa971e239', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
3743,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '012f891849937103fa5665eb388825450324666bda6a342ba272fdac4ba454f3', 'PS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
6808,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '017567a4f9e502e08d9dfd7e7494ccf2c6bb0946388b16814a76a825d5753287', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
11321,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0195b83a28171325d3633000cd1bce04968a24575841b54ad3f7222b3ddabf4a', 'PS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
5624,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '01a7db945e7085ff594d46f8d1ca9f973f508a8a1fbe8f97dcab3b68caf661c8', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
