baseline,batch_index,FZ_minus_native_z_rewrite_target_new_nll_mean,FZ_minus_native_z_rephrase_target_new_nll_mean,FZ_minus_native_W_rewrite_target_new_nll_mean,FZ_minus_native_W_rephrase_target_new_nll_mean
OFFICIAL-ALPHAEDIT,1,0.04711753523090011,0.17590199536021833,0.049206584740568354,0.06219455100494087
OFFICIAL-ALPHAEDIT,2,0.055405662681623655,0.14141628137389484,0.05719114232510037,-0.0755763650422887
OFFICIAL-ALPHAEDIT,3,0.0623933297189069,0.19766843457945016,0.0664860922191292,-0.011735281710571144
OFFICIAL-ALPHAEDIT,4,0.034608457947833814,0.38474682601632604,0.03572937989978527,0.3865412679528526
OFFICIAL-ALPHAEDIT,5,0.006869995219640259,0.15068329851827,0.007387562151961902,0.2916542855421722
OFFICIAL-ALPHAEDIT,6,0.045690725120020946,0.08694339690220665,0.0477147424528448,-0.05566759786866893
OFFICIAL-ALPHAEDIT,7,0.012511111188978248,0.24968545902287587,0.012090472254094493,0.029935535320146256
OFFICIAL-ALPHAEDIT,8,0.01659651840022889,0.1199589032163566,0.01640704148420809,0.13395284078018443
OFFICIAL-ALPHAEDIT,9,0.017536187441182845,0.24383058423303738,0.01685784619741753,0.2517657310006325
OFFICIAL-ALPHAEDIT,10,0.041879150438417126,0.1498658087908189,0.036100042459474936,0.16608383994520404
OFFICIAL-MEMIT,1,0.047403002516293785,0.18281270285358908,-0.2962508784694,-0.9925907508740783
OFFICIAL-MEMIT,2,0.05565868355817657,0.13906301195034754,-0.1671326667888934,-1.0847049999154843
OFFICIAL-MEMIT,3,0.06281838665108808,0.19079675702426346,-0.3504913581672372,-1.0744164875488789
OFFICIAL-MEMIT,4,0.03467614430546746,0.39745563065458556,-0.12340069529484024,-0.5714803984978425
OFFICIAL-MEMIT,5,0.0069899280355457455,0.1351517698897804,-0.08676371046221903,-0.4910898217071371
OFFICIAL-MEMIT,6,0.045950628053051334,0.0987240113121517,-0.125715034010027,-1.2419617470412048
OFFICIAL-MEMIT,7,0.012671863989344275,0.2491423393834704,-0.045987976695214455,-1.0810678301411463
OFFICIAL-MEMIT,8,0.01677723812169461,0.11431124405702575,-0.07799395674140214,-0.6743434834221986
OFFICIAL-MEMIT,9,0.017584790818727925,0.21487039459138024,-0.23333253679331392,-0.8489200308495493
OFFICIAL-MEMIT,10,0.05215903910653651,0.13598677529178538,-0.08185781325420977,-1.0361385171941948
