candidate_id,lambda_response,T,N,h,source_normalization,planned_task,disposition,live_completion_dependency
JV-BASE,0.1,2,4,0.5,SOURCE_EXACT_N0,E1 and S1,COMMON_ENTRY_REFERENCE,none
JV-LAM-001,0.01,2,4,0.5,SOURCE_EXACT_N0,S1,COARSE_ACTUAL_PRIORITY_AFTER_NORMAL_STATE_SCREEN,none
JV-LAM-00316,0.03162277660168379,2,4,0.5,SOURCE_EXACT_N0,S1,CPU_SHADOW_REUSE_AND_SECOND_WAVE_ACTUAL,none
JV-LAM-0316,0.31622776601683794,2,4,0.5,SOURCE_EXACT_N0,S1,CPU_SHADOW_REUSE_AND_SECOND_WAVE_ACTUAL,none
JV-LAM-1,1,2,4,0.5,SOURCE_EXACT_N0,S1,COARSE_ACTUAL_PRIORITY_AFTER_NORMAL_STATE_SCREEN,none
JV-RES-N2,0.1,2,2,1,SOURCE_EXACT_N0,E1,REQUIRED_BOTH_MODELS_COMMON_ENTRY,none
JV-RES-N8,0.1,2,8,0.25,SOURCE_EXACT_N0,E1,REQUIRED_BOTH_MODELS_COMMON_ENTRY,none
JV-RES-N16,0.1,2,16,0.125,SOURCE_EXACT_N0,E1,CONDITIONAL_REFINEMENT_AFTER_N8,none
JV-HOR-T1,0.1,1,2,0.5,SOURCE_EXACT_N0,E1,REQUIRED_BOTH_MODELS_PREFIX_WHEN_VALID,none
JV-HOR-T4,0.1,4,8,0.5,SOURCE_EXACT_N0,E1,REQUIRED_BOTH_MODELS_LONG_PREFIX_DRIVER,none
