comparison,panel,metric,identity,case_id,prompt_index,before_success,after_success,loss,recovery,new_nll_delta,true_nll_delta,desired_margin_delta
A0_to_A-OS,Current100,RS,07ba7e7a60b1028ff2af33a38bd8fc47f09d3f02f7daf7894555c49321049193,18246,0,True,True,False,False,0.002223897259682417,-0.5071353912353516,-0.509359288495034
A0_to_A-OS,Current100,RS,dbaf4bda6a90fbcf48d2e2961e0fc08d3f9fe24c99677b0989225c2dea955b97,6208,0,True,True,False,False,-0.01199260726571083,0.03437328338623047,0.0463658906519413
A0_to_A-OS,Current100,RS,76342b1e0a5116a38b68ca6c901088f71ea8b2989453b151d9f85f9d60eabb06,17272,0,True,True,False,False,0.036534205079078674,-0.06053924560546875,-0.09707345068454742
A0_to_A-OS,Current100,RS,58fc5a02860b988c14d0c7c46790c6aca51b5cebdf697ac9758c614ebf399270,5149,0,True,True,False,False,0.03229770064353943,-0.19668102264404297,-0.2289787232875824
A0_to_A-OS,Current100,RS,e5b251c5051cbd980154232176a155be3b93cd4f995801260440c14258492136,16709,0,True,True,False,False,0.2018808126449585,-0.6376190185546875,-0.839499831199646
A0_to_A-OS,Current100,RS,b3d4f68ca48147d469722837d0a17705d9e474fd706335e699d3d9c64d032038,17483,0,True,True,False,False,0.1652015894651413,-0.5436575412750244,-0.7088591307401657
A0_to_A-OS,Current100,RS,3d6a1063aac2982ab3152c1b42870c238bae3795c38d22dc3f9d619043e6983a,9090,0,True,True,False,False,0.0014914192724972963,-0.3491535186767578,-0.3506449379492551
A0_to_A-OS,Current100,RS,c78cd7c1cb3f0e4a28959fc280f65b89f1e618ef4d1de8d7f8b667ccc5c1b35f,4395,0,True,True,False,False,0.038085922598838806,0.1534137725830078,0.115327849984169
A0_to_A-OS,Current100,RS,c67410519e43d292776766a5f7f257f6f00ac864c7e8070a20c6c1c7d9cf25fa,14590,0,True,True,False,False,0.013892575167119503,-1.7556428909301758,-1.7695354660972953
A0_to_A-OS,Current100,RS,e0e43d69a0bc005dc08556199f6009dc21cee0eb7e64e64d77d5db0eedab9fff,7812,0,True,True,False,False,-0.14944219589233398,0.2686429023742676,0.41808509826660156
A0_to_A-OS,Current100,RS,6567a1fc057f76234e2f4f5c2b3bc28ca445ca6694939a55e2399831f973ab07,821,0,True,True,False,False,0.2354665845632553,-2.163248062133789,-2.3987146466970444
A0_to_A-OS,Current100,RS,c0b28e1ff5b65fae7d564c7315ed194fc7c3e1b04a78844f2b4b045bde1f8ff7,13931,0,True,True,False,False,0.0009115594439208508,-0.8155574798583984,-0.8164690393023193
A0_to_A-OS,Current100,RS,944bec557e81caff0b82d9ffc17e34360410398f4c8eaa0aedea2ff91c374e02,11695,0,True,True,False,False,0.03330933675169945,-1.7111444473266602,-1.7444537840783596
A0_to_A-OS,Current100,RS,1bd782cd35b639b20c6079d8c0646de563f2ee5a167f7cb885d4d01fd0a18b0e,9277,0,True,True,False,False,0.0020967735908925533,-0.6799373626708984,-0.682034136261791
A0_to_A-OS,Current100,RS,e5e39a218c4c5f347df77ffe32b229066f51e39abbafc05c20a1fc871ca88567,19560,0,True,True,False,False,-0.046927377581596375,0.24501800537109375,0.2919453829526901
A0_to_A-OS,Current100,RS,398c1c8dc9acb25b629245ee08c2ccae7629931b2824f1b01997206aa770b022,3,0,False,False,False,False,-0.10568571090698242,0.0034817829728126526,0.10916749387979507
A0_to_A-OS,Current100,RS,87285d461d6cd87bb57b64a641e495449d3b777491ae42479c95f6d276b2ea76,18963,0,True,True,False,False,0.005117899738252163,-0.3849515914916992,-0.3900694912299514
A0_to_A-OS,Current100,RS,04591e26578929d32bfc6e3f51cae69cafd50874acccbabeb06c920ea42404f9,17689,0,True,True,False,False,0.03960501402616501,-0.21586990356445312,-0.25547491759061813
A0_to_A-OS,Current100,RS,599c4e6e258485c10668e47e836bcbf3e87ac6f2c8417187668188af612c1c32,7702,0,True,True,False,False,0.0006706331187160686,-1.508127212524414,-1.5087978456431301
A0_to_A-OS,Current100,RS,6491bd3c4a6a56fbd68122097ea36f261074626fdb37b6042346f80b5b172363,18857,0,True,True,False,False,0.015592657029628754,0.06720399856567383,0.051611341536045074
A0_to_A-OS,Current100,RS,a8ff72531e0caa7907d71bd8087c2b356080b84ac1e588f4e2c1a00ea0b4ea02,3236,0,True,True,False,False,0.003338254988193512,-0.3372058868408203,-0.3405441418290138
A0_to_A-OS,Current100,RS,d731eccdc9de5b262533903484392e07ea99efb5f91f0a0a6673fbe8d4f55547,5099,0,True,True,False,False,0.02055153250694275,-0.6925468444824219,-0.7130983769893646
A0_to_A-OS,Current100,RS,6f14a1a78860f310e0073e735fd240339892db906082a6b45b79ae0a7f254007,10315,0,True,True,False,False,-5.826386041007936e-05,-1.2734365463256836,-1.2733782824652735
A0_to_A-OS,Current100,RS,11febb639d89888133903219f054e10faea4acec5e06d62d086d537f5c646f4d,10098,0,True,True,False,False,0.016344672068953514,-1.5363750457763672,-1.5527197178453207
