accuracy,case_index,comparison,delta_rephrase_w_minus_z_gap,delta_rewrite_w_minus_z_gap,delta_w_rephrase_nll,delta_w_rephrase_strict_success,delta_w_rewrite_nll,delta_w_rewrite_success,delta_z_rephrase_nll,delta_z_rephrase_strict_success,delta_z_rewrite_nll,delta_z_rewrite_success,pair_binding,request_index,request_sha256
NOT_RECORDED,1,IL8-FULL-IL3-FULL,-0.0068359375,-0.000293731689453125,-0.068359375,0,-0.00323486328125,0,-0.0615234375,0,-0.002941131591796875,0,same_stream_order_case_request,0,285a3add6f31d8546b0d76689a016bc0f9f7d8e58c95f54e87bba48ad5cabc65
NOT_RECORDED,1,IL8-FULL-IL3-FULL,-0.00341796875,-0.00020599365234375,-0.010589599609375,0,-0.0013141632080078125,0,-0.007171630859375,0,-0.0011081695556640625,0,same_stream_order_case_request,1,6abbaf2496b409f11036390da3b47c9272a243b8a164ca3d9f9a65fafbec985d
NOT_RECORDED,1,IL8-FULL-IL3-FULL,0.001220703125,-0.00019073486328125,0.014892578125,0,-0.0037078857421875,0,0.013671875,0,-0.00351715087890625,0,same_stream_order_case_request,2,9e6706cd1a722d31b1dbfa3eba84ea86ef6cdb2c3c17d63b21f5cc7e76ef6e7d
NOT_RECORDED,1,IL8-FULL-IL3-FULL,-0.0234375,-6.67572021484375e-05,-0.353515625,1,-0.000286102294921875,0,-0.330078125,1,-0.0002193450927734375,0,same_stream_order_case_request,3,90537afae22e47988418137733b2bba6fe78ac3f2cf3e8a710430cb784b35dc9
NOT_RECORDED,1,IL8-FULL-IL3-FULL,-9.1552734375e-05,-0.0001087188720703125,-0.002567291259765625,0,-0.001163482666015625,0,-0.002475738525390625,0,-0.0010547637939453125,0,same_stream_order_case_request,4,a77982960263f0dfb48efd2b8425a460b3d20430fb61ce562f7e2ffbbd3561fd
NOT_RECORDED,1,IL8-FULL-IL3-FULL,0.025390625,-0.0001068115234375,-0.185546875,0,-0.0019073486328125,0,-0.2109375,0,-0.001800537109375,0,same_stream_order_case_request,5,cc987485b7f9961ef45a3aeb9301abf629d197b349e59b58ed6f5592212f16a5
NOT_RECORDED,1,IL8-FULL-IL3-FULL,-0.04888916015625,-0.0009613037109375,0.13446044921875,0,-0.00347900390625,0,0.183349609375,0,-0.0025177001953125,0,same_stream_order_case_request,6,042d6957cbf51889a68f9ec05692ae02395bbfb258ab0b145b56d98b06844fc8
NOT_RECORDED,1,IL8-FULL-IL3-FULL,-0.021087646484375,-0.000148773193359375,-0.126800537109375,0,-0.001155853271484375,0,-0.105712890625,0,-0.001007080078125,0,same_stream_order_case_request,7,05dcb1cec09134d2efacd122ce09e701a8db7624e92b7aacd3194a7f4fdb415c
NOT_RECORDED,1,IL8-FULL-IL3-FULL,0.068359375,-9.5367431640625e-06,-0.103515625,0,-0.00089263916015625,0,-0.171875,0,-0.0008831024169921875,0,same_stream_order_case_request,8,db99bc188dd5a31df5e5c30a1acc5379a51ae45dff15346ebc2be90a1d016ffb
NOT_RECORDED,1,IL8-FULL-IL3-FULL,-0.12109375,-0.000560760498046875,-0.31640625,0,-0.002376556396484375,0,-0.1953125,0,-0.0018157958984375,0,same_stream_order_case_request,9,4042d278f9a0433f41f891fcbc391eee910a5adfea1cc73f3792d75698ffdd46
NOT_RECORDED,2,IL8-FULL-IL3-FULL,0.02294921875,3.814697265625e-05,-0.10498046875,0,-0.00035858154296875,0,-0.1279296875,0,-0.000396728515625,0,same_stream_order_case_request,0,77f07216c6ca6c39ab0274107bf776c38abd63ae8c1ca02ea59fcdab0f36e4e4
NOT_RECORDED,2,IL8-FULL-IL3-FULL,0.048828125,7.2479248046875e-05,-0.060546875,0,-0.000102996826171875,0,-0.109375,0,-0.00017547607421875,0,same_stream_order_case_request,1,8d67adfeef800f3ba3b181a61828d73e1a8c5712ee92223ca71ce23e8fee6253
NOT_RECORDED,2,IL8-FULL-IL3-FULL,0.04296875,0.00042724609375,0.0205078125,0,-0.007720947265625,0,-0.0224609375,0,-0.008148193359375,0,same_stream_order_case_request,2,6346c3ea243517cbad25c3a69368e9e4e406b1dc74740054f1cb5fffd458cc0c
NOT_RECORDED,2,IL8-FULL-IL3-FULL,-0.0390625,0.000213623046875,-0.0859375,0,-0.00186920166015625,0,-0.046875,0,-0.00208282470703125,0,same_stream_order_case_request,3,2089e9a0a34cd6b112042624259e5a1dfb017b6f95b70d028c2452eef4371262
NOT_RECORDED,2,IL8-FULL-IL3-FULL,0.0399169921875,0.000335693359375,-0.428955078125,0,-0.001983642578125,0,-0.4688720703125,0,-0.0023193359375,0,same_stream_order_case_request,4,3a77016737e2b0f4dfa9685598e7703e88fe37b911c923d52a9dd4187d20f892
NOT_RECORDED,2,IL8-FULL-IL3-FULL,-0.0052490234375,-0.0006256103515625,-0.0185546875,0,-0.00328826904296875,0,-0.0133056640625,0,-0.00266265869140625,0,same_stream_order_case_request,5,0cbdcd102101aa2847555821e9cb9856e3e26f89510271de286f5bf4667c4094
NOT_RECORDED,2,IL8-FULL-IL3-FULL,0.04132080078125,2.288818359375e-05,-0.26702880859375,0,-0.00217437744140625,0,-0.308349609375,0,-0.002197265625,0,same_stream_order_case_request,6,28380ae63c22bfe558c51b74c37ea0f21b0d2a56d51d9668b669a7da0368ae22
NOT_RECORDED,2,IL8-FULL-IL3-FULL,-0.02197265625,-0.00261688232421875,-0.1357421875,0,-0.00563812255859375,0,-0.11376953125,0,-0.003021240234375,0,same_stream_order_case_request,7,5fb850b2455f7b7e5f6079f0dce941715ca198eff1276c7a4d63f6aaeb20d520
NOT_RECORDED,2,IL8-FULL-IL3-FULL,0.0078125,0.0003204345703125,-1.24609375,1,-0.0057373046875,0,-1.25390625,1,-0.0060577392578125,0,same_stream_order_case_request,8,85a4eedb16a30908dfc36bf358b5d34dc472310148a017735bbdad65a96f977c
NOT_RECORDED,2,IL8-FULL-IL3-FULL,0.046875,-9.5367431640625e-05,-0.421875,0,-0.000591278076171875,0,-0.46875,0,-0.00049591064453125,0,same_stream_order_case_request,9,cf6f2bb990d5607be73e905f76a5a18c2756098f9d34cb16b4de12fe91ac1d3d
NOT_RECORDED,3,IL8-FULL-IL3-FULL,0.125,0.00054931640625,-0.796875,0,-0.0045623779296875,0,-0.921875,0,-0.0051116943359375,0,same_stream_order_case_request,0,d62d3daaa98597827218b56a25f7ae3bb2b223eaaf78b7acf4945a97a6ef323f
NOT_RECORDED,3,IL8-FULL-IL3-FULL,0.06256103515625,-0.0001888275146484375,0.1234130859375,0,-0.001190185546875,0,0.06085205078125,0,-0.0010013580322265625,0,same_stream_order_case_request,1,c4c0883e808830f850159906afcefc21c16dcd760fd4acf68e0181ad9745b79a
NOT_RECORDED,3,IL8-FULL-IL3-FULL,-0.005859375,-0.0006866455078125,-0.2548828125,0,-0.0018768310546875,0,-0.2490234375,0,-0.001190185546875,0,same_stream_order_case_request,2,2d7a05de733521918b9b3c10f95568ee42e8fa4bbeb9911964758f2e95f6e9e4
NOT_RECORDED,3,IL8-FULL-IL3-FULL,0.1171875,0.000194549560546875,0.09375,0,-0.000335693359375,0,-0.0234375,0,-0.000530242919921875,0,same_stream_order_case_request,3,7ad81b264c5bf8e0448ecd9bcdb6f342989288fde3543b7704f2c1ec659b7185
NOT_RECORDED,3,IL8-FULL-IL3-FULL,-0.0364990234375,0.0003814697265625,-0.1900634765625,0,-0.0008544921875,0,-0.153564453125,0,-0.0012359619140625,0,same_stream_order_case_request,4,b11185489a6e191b8145c5e43c46e1ac11afecedbb8858886ba16fb0915c52d5
