case_id,current_conflicting_target,denominator_exclusion,entry,exact_neighbor_rewrite_overlap_count,later_conflicting_seen_target,ordinal,panel,semantic_conflict_detection,subject_relation_cluster,target_sha
18406,False,0,Early,0,False,1000,Current100,False,a699e2b558f9e849dae4a8bc6c095930de58777b4a76c216f812fd59b88605f3,01b2cc29e44f9e18f8197a38fc8edf2d207f9fea5a965ea80f071c75381ac71f
15992,False,0,Early,0,False,1001,Current100,False,9a7cb5e6de694dfacecbe32039dac2b5b8c81ffe947cd12c5cbee4f27df64c62,264579c4cf7c569eab06020d61e057e943e1590514fcf024ded522f676f4baea
13773,False,0,Early,0,False,1002,Current100,False,a623cfe7d90782b5d788b09d679eabf9745df219833b2571d59b6814a6b1729e,7c137cb617893bf2f051451837933790c59bc8957cd99fc710044ef60e659f30
18610,False,0,Early,0,False,1003,Current100,False,2bbcef49ff3b1c000a46dd825619e1e4605459a32937a2690416ba743ea41a19,2457f97efe621c2eaa152e5ced409569087ab9650e84fd0a2175e5d0f212cea4
19319,False,0,Early,0,False,1004,Current100,False,1f14f054396bbe15836282f2a4e21c47f0d18471b3ebe5e9f9b839f11a0d392d,697991ce7a9e6b874225cd0dd229ac1480bd5bf24340212c51a5b541fd522e16
18162,False,0,Early,1,False,1005,Current100,False,c5f928e8124fd7d63b15550a22c904594193a42d76155ab0a704076150af8f1b,8313d0d97f37a178d1c9a6d87abb43694d27e37eae479fd6a3f3a793e3f7656e
17049,False,0,Early,0,False,1006,Current100,False,e1a7b16ef2ba7391e168657ef727668d319776a50fcf83f8c1c307d85409f8aa,36f5a63b54a9bfeb487d6ee9d8526c6c4820abe3d65014e348c93478970f8239
3091,False,0,Early,0,False,1007,Current100,False,207dec9dc87d5bc46502c1b97510bc4135c35a8ca6e801098259e01b42b136aa,f71127181bf1e7089375ff481683de20c8582782bdcc4c18e3c88c82824effef
7983,False,0,Early,2,False,1008,Current100,False,dab5474e2598adced9eaecc4c34c169a6bf7494510e4a627bce05cd814b7921e,c8a6e0d4a6e458b0dbdc1445f885219ac03bf9c0d1030b36e9954e72ab90a530
4041,False,0,Early,0,False,1009,Current100,False,d2245e0630b4b20b292b64dbfe89fb0421a9b5aaea13874bd3ee36c0059abd5e,5e7a85ff0649e7041ce378e9d821375a1ae8aa1320c70bf0d6a4e3d4d58bfcaa
37,False,0,Early,0,False,1010,Current100,False,e7ceee8b166bcf2fcfb0e63f250be6cc230fff990ae7110f5d9e70f142b5600c,984af12eda13baff852c811cca288feab2d3d29f74c6e15cea559d2f3a828c9f
11809,False,0,Early,0,False,1011,Current100,False,a9e687140392158f3c29de82b641bc2312a2071182cc161e8d3d5a30da332d36,d918e21e6845359780b08a47926dff2cd90a8b0622178681b9886e1f6d4c342b
11702,False,0,Early,0,False,1012,Current100,False,abaf7b879c66a94a94515aaf7a6b8b6ae5eb832fcdf8fb7ab4740a73801b2466,c2366584430134347549e70ea59f2a8acd5185a0587a0794f80da19b224375e9
14262,False,0,Early,0,False,1013,Current100,False,0b3479b859dfa67522a53771d5900d674f476e3045b2d5505c81e610460aea24,9a9c596959fdf533e19e2c6b38f40e29e26d8ea338842b0f55c4d09e9bedd0f4
10814,False,0,Early,0,False,1014,Current100,False,0d0fd4b4ae658deeaf3799f47d8257e710a07e6d2f5997b1e9a4a7a5f4cf76bb,5c598a2401635b3ecd4a7ab6901f92b2059df83bde3d84622fe76f6c4b198d1a
12294,False,0,Early,0,False,1015,Current100,False,3fce544fe60035595d6abb8443bd8bf9220c51ee554a56d6e34336ad09596615,0576c4b1c182ea7e26f7266e60ea218cc45db04d13951797da61f6382301cf97
1187,False,0,Early,0,False,1016,Current100,False,c9f9bc6f63452ab2f02c01c7e87d9ebdcdaf7383d79ed3ca1c3b4d4a843cab09,44ea103e695dccba78d8ab9b705003aeed6cc1c017451caea7abfcf398004417
18576,False,0,Early,0,False,1017,Current100,False,fcfd993fe9f4d45b0ec985075a239cbfbea1cc65ddda2d46c84c11ba08163915,092033938ca2debb340be95266c500b7ee4739facaf97f9a059b190a19cee0f5
2524,False,0,Early,0,False,1018,Current100,False,6b2fc8b6086fcb83e604358e56c852bdc5ad137f8c8b16b799fee82ddb33b8a1,542fae80622159f5d5acb66cb2977a5fdc53ceb3a1a9c239e2a85a11d6dff6b9
4585,False,0,Early,0,False,1019,Current100,False,b8bfeccd576cc1be096073f7cb4da1e9c7a6dbf8459bd2620757fbb467afc353,6d2a5320d61dfdb208b10ccc8e501622b711135725528189edfa3d66f858ddca
11042,False,0,Early,0,False,1020,Current100,False,b7daeb06370344306bba0431569b4ecca4be38605347d1dc06b37cd09762e908,3a198a4272d97d95a4cedc59541dc17198af91367b3054252c92ee8bd41c8c85
8316,False,0,Early,0,False,1021,Current100,False,7b1483d2e2fbe3394935ca649a9278f4ecd6ea04789b639b144da8049ffb11de,3dd1753781a38bb17945507bc9b661c8373dbe68e530e4133671790446439083
18834,False,0,Early,0,False,1022,Current100,False,9157da2bb7a2c7457b2de066625c5af70cac10d3095b534ea66c68d1c3d8de75,fd69e60b1fc1719546c9d7ac189d4d5d9a22db5f2e900778937ab77548a1c6f1
17662,False,0,Early,0,False,1023,Current100,False,35fbb873026b1c5f1259a1332e41c1bd6df81d293f7b7163ea1ef0397fb5a0e4,7ea667b6586583049db91db86ae5197ed9d694890349fcd7c1834e4673d2dc5c
7264,False,0,Early,0,False,1024,Current100,False,a1aba8e2f351d9c01a9cd0df1a9978a89f3f543bb4cece7963d12144e5a5f058,2bb8d347952d8057f05abddfa3b589e5c6b79809df5c6a02e7d969d9ad806618
