job_id,entry_n,component,value,unit,accounting,status,evidence
46439,5000,allocated_GPU_seconds,2806,seconds,ALLOCATION_TOTAL_NOT_ADDITIVE,COMPLETED_EXIT_0,parent_single_scheduler_receipt
46439,5000,program_elapsed,2800.91961732693,seconds,PROGRAM_TOTAL_NESTED_IN_ALLOCATION,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-e01-fullseen-schema-repair-r3/local/baseline-mechanism-first-e01/20260912-v1/fullseen-schema-repair-r3/n5000/output/terminal.json
46439,5000,model_load,15.242417614907026,seconds,PROGRAM_COMPONENT,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-e01-fullseen-schema-repair-r3/local/baseline-mechanism-first-e01/20260912-v1/fullseen-schema-repair-r3/n5000/output/terminal.json
46439,5000,fullseen_past_eval_guard_shards,2467.1326255518943,seconds,PROGRAM_COMPONENT,NATIVE_Z_HISTORY_0,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-e01-fullseen-schema-repair-r3/local/baseline-mechanism-first-e01/20260912-v1/fullseen-schema-repair-r3/n5000/output/terminal.json
46439,5000,new_native_batches,0,count,COUNT_OR_PEAK_NOT_ADDITIVE,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-e01-fullseen-schema-repair-r3/local/baseline-mechanism-first-e01/20260912-v1/fullseen-schema-repair-r3/n5000/output/terminal.json
46439,5000,new_z,0,count,COUNT_OR_PEAK_NOT_ADDITIVE,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-e01-fullseen-schema-repair-r3/local/baseline-mechanism-first-e01/20260912-v1/fullseen-schema-repair-r3/n5000/output/terminal.json
46439,5000,new_history_append,0,count,COUNT_OR_PEAK_NOT_ADDITIVE,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-e01-fullseen-schema-repair-r3/local/baseline-mechanism-first-e01/20260912-v1/fullseen-schema-repair-r3/n5000/output/terminal.json
46439,5000,evaluated_past_requests,5900,count,COUNT_OR_PEAK_NOT_ADDITIVE,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-e01-fullseen-schema-repair-r3/local/baseline-mechanism-first-e01/20260912-v1/fullseen-schema-repair-r3/n5000/output/terminal.json
46439,5000,reused_current_requests,100,count,COUNT_OR_PEAK_NOT_ADDITIVE,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-e01-fullseen-schema-repair-r3/local/baseline-mechanism-first-e01/20260912-v1/fullseen-schema-repair-r3/n5000/output/terminal.json
46439,5000,peak_allocated_bytes,34783035904,bytes,COUNT_OR_PEAK_NOT_ADDITIVE,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-e01-fullseen-schema-repair-r3/local/baseline-mechanism-first-e01/20260912-v1/fullseen-schema-repair-r3/n5000/output/terminal.json
