cell_id,stage,depends_on,scope,device,result_kind,gate,status,dependency_mode,requires_components,reason,evidence_path,evidence_sha256,dependency
A00,input_binding,,independent input component receipts; optional/later assets do not block archival subset,CPU,input_receipt,component_status_collection,PASS,none,,Verified independent component receipt; not C01 promotion,/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/attempt-v1/inputs/READY.json,c6227bf6c0dfc47a455abab610628acf428c55cb1e33928a7b9a426e490ccd04,
A01,functional_ledger,A00,all current100 and seen12; overwrite strata,CPU,observed_archival,row_state_and_identity_join,PASS,component_success,archival_eval|sealed_order|checkpoint_state,Verified independent component receipt; not C01 promotion,/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/attempt-v1/results/archival/archival-receipt.json,8756cea928cc159c9eb9c32f8cf148ac77952a57b5cabaef5d6b05119ca63ac3,
B00,weight_history,A00,"W0+12states,11nonzero-history intervals",CPU,observed_weights_and_trace_estimates,finite_hash_and_MC_precision,PASS,component_success,checkpoint_state|W0_L4,Verified independent component receipt; not C01 promotion,/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/attempt-v1/results/geometry/geometry-receipt.json,dce0e872d38144b43dc4ac4447c323f598500ce322cfdc2592630064cdb2e6df,
C00,prefix_parity,A00,B1/B2 native inputs + first32 of probe512,GPU,feature_cache,original_environment_and_key_parity,PASS,component_success,W0_L4|full_model_runtime|source_closure|P4|sealed_order,Verified independent component receipt; not C01 promotion,/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/attempt-v1/results/model-gate-tech-r1/C00.json,9c05d47c15d43e302fb42e12240668fb068e130801e26b8d3c9f0e01eaf2ff84,
C01,B1_reproduction,C00|B00|A01,W0 and B1 full first100 evaluation; direct native B1,GPU,actual_vs_reconstructed,native_writer_evaluator_and_h0plusEK,FAILED,all_success,target_B001,NS row NLL/margin and four M1 Gram elements exceed unchanged contract; other B1 subchecks retained,/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/attempt-v1/results/model-gate-tech-r1/terminal.json,ebdf0919b907df257a3fbff19e00ec8155dfa6aff1d3bc78f1982123883c6580,
C02,key_bank,C01,native700 + fixedprobe512; cached features reused,GPU,feature_cache,all_ids_context_weights_and_shapes,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
O000,history_operator_pilot,C02,M000; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
O001,history_operator_pilot,C02,M001; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
O010,history_operator_pilot,C02,M010; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
O100,history_operator_pilot,C02,M100; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
O005,history_operator_extension,C02|O000|O001|O010|O100,M005; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
O020,history_operator_extension,C02|O000|O001|O010|O100,M020; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
O030,history_operator_extension,C02|O000|O001|O010|O100,M030; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
O040,history_operator_extension,C02|O000|O001|O010|O100,M040; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
O050,history_operator_extension,C02|O000|O001|O010|O100,M050; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
O060,history_operator_extension,C02|O000|O001|O010|O100,M060; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
O070,history_operator_extension,C02|O000|O001|O010|O100,M070; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
O080,history_operator_extension,C02|O000|O001|O010|O100,M080; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
O090,history_operator_extension,C02|O000|O001|O010|O100,M090; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,BLOCKED,all_success,,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
N001,native_demand_modes,O000|C01,entry 0 -> saved z B1; 100 requests,GPU,actual_endpoint_validated_B1,dense_factor_parity,BLOCKED,all_success,target_B001,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
N002,native_demand_modes,O001|C01,entry 1 -> saved z B2; 100 requests,GPU,reconstructed_native,commit_and_current_consistency,BLOCKED,all_success,target_B002,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
N006,native_demand_modes,O005|C01,entry 5 -> saved z B6; 100 requests,GPU,reconstructed_native,commit_and_current_consistency,BLOCKED,all_success,target_B006,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
N011,native_demand_modes,O010|C01,entry 10 -> saved z B11; 100 requests,GPU,reconstructed_native,commit_and_current_consistency,BLOCKED,all_success,target_B011,Dependency C01 NUMERICAL_CONTRACT_UNRESOLVED; not submitted; no numerical fallback,,,C01
