requirement,source_file,function,line,source_sha256,evidence,level
B1-only fail-closed,en_execution_reuse/config.py,require_batch,43,9a1a051a224d2dc05f083a51df3e711f3dfa6e6920219da271d395913e59ed0a,terminal.json,RUNTIME_AND_CPU_NEGATIVES
"shared native reuse, no new fit",en_execution_reuse/model.py,native,137,736298573aa0f479e53ca76d9d798bb8bdc346757f4c88f541256528ef57f649,native/,SOURCE_AND_HASH_BINDING
same complete generated adapter,en_execution_reuse/generated_oracle.py,kl,365,453e24c9806ea742f2d210433cd553de5afc279721f37e868b0f08bd5036c56a,reference-sweeps/,FULL_COVERAGE_ROWS
separate timed method gradient,en_execution_reuse/schedule.py,run_schedule,74,324d38bdf37ffe33a974a087337eaf8975399f586b085ccdbdcf1a5a8b064d2b,arms/*/selection-ledger.json,OBSERVED_PER_ARM_COUNTERS
original EN-F Polyak/backtrack/guard,single_layer_edit_preserving_correction/optimizer.py,optimize,210,0c602dc58fd40ade4e13673483d025cc77a55d196a8aa9bcce463a6fe6a08db8,arms/*/events/,SOURCE_AND_RECORDED_DECISIONS
resident immutable two endpoint slots,en_execution_reuse/endpoint_session.py,EndpointSession,129,e1734a08c8576ad40b7712a6fd9c83611309008719d43d73c2cf2fda636db1ff,arms/*/selection-ledger.json,RUNTIME_GUARDS_AND_COUNTERS
"Current row/hidden reuse, original head shapes",en_execution_reuse/current_observation.py,CurrentObservationController,70,f96d8d11d30329449906e443903ae8d753280de2904184a1033df424a46a2124,candidate-conditions.csv,EXACT_RECEIPTS_AND_CPU_FIXTURES
bounded independent physical path,en_execution_reuse/technical.py,check,32,4f9b810d09127082901f3c052015f8aa7bb062f201a34a01feabf0b9a5ba6853,technical/checks.json,PASS_BOUNDED
history1 and atomic W/M/RNG checkpoint,en_execution_reuse/transaction.py,commit,67,8c8f38478a152b154fe6cbf54133ccf4849068c0b25886475b9bb48bfc476a6b,checkpoints/,CPU_RELOAD_AND_RUNTIME_COPY_NOT_CONTINUATION
official observer after all selections,en_execution_reuse/matched_runner.py,run,51,1e113ebd9df817d0b70d7de296fa20887b001ccf5063f5d23e17bb6941b1b2d0,ALL_SELECTIONS_SEALED.json,SOURCE_AND_ORDERED_RECEIPTS
canonical raw NLL independent reduction,en_execution_reuse/reducer.py,reduce_raw,24,bd764c0e0efe5532a18932bb1f5281065bbcd663b5cfa6cbf5dba0279f47fd97,final-table.csv,CPU_INDEPENDENT_REDUCER
