parent_job_id,array_task_id,child_job_id_raw,job_name,scheduler_state,exit_code,elapsed,start,end,node,namespace,category,source_head,result_inclusion,failure_boundary_present,failure_exception_type,failure_exception,failure_stage,completed_primary_arms_before_failure,science_change_count,threshold_change_count,tolerance_change_count,w0_restore_pass,terminal_status
36603,0,36604,odeedit_orbode_ns_r0,FAILED,2:0,00:00:02,2026-09-05T00:34:39,2026-09-05T00:34:41,devbox,round0-tech-r1,TECHNICAL_ATTEMPT,15fd9579821695270c8d7a3e9b8759f9cd360d93,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,False,,,,0,0,0,0,NOT_RECORDED_CANCELLED_PARTIAL,
36603,1,36605,odeedit_orbode_ns_r0,FAILED,2:0,00:00:02,2026-09-05T00:34:39,2026-09-05T00:34:41,devbox,round0-tech-r1,TECHNICAL_ATTEMPT,15fd9579821695270c8d7a3e9b8759f9cd360d93,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,False,,,,0,0,0,0,NOT_RECORDED_CANCELLED_PARTIAL,
36603,2,36608,odeedit_orbode_ns_r0,FAILED,2:0,00:00:01,2026-09-05T00:34:42,2026-09-05T00:34:43,devbox,round0-tech-r1,TECHNICAL_ATTEMPT,15fd9579821695270c8d7a3e9b8759f9cd360d93,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,False,,,,0,0,0,0,NOT_RECORDED_CANCELLED_PARTIAL,
36603,3,36603,odeedit_orbode_ns_r0,FAILED,2:0,00:00:01,2026-09-05T00:34:42,2026-09-05T00:34:43,devbox,round0-tech-r1,TECHNICAL_ATTEMPT,15fd9579821695270c8d7a3e9b8759f9cd360d93,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,False,,,,0,0,0,0,NOT_RECORDED_CANCELLED_PARTIAL,
36415,0,36416,odeedit_orbode_ns_b1,COMPLETED,0:0,00:23:37,2026-09-04T23:31:14,2026-09-04T23:54:51,devbox,b1-tech-r1,B1_PILOT,15fd9579821695270c8d7a3e9b8759f9cd360d93,EXCLUDED_SEPARATE_B1_PILOT_PROVENANCE_ONLY,False,,,,0,0,0,0,True,TERMINAL_VALID
36415,1,36417,odeedit_orbode_ns_b1,COMPLETED,0:0,00:25:28,2026-09-04T23:31:14,2026-09-04T23:56:42,devbox,b1-tech-r1,B1_PILOT,15fd9579821695270c8d7a3e9b8759f9cd360d93,EXCLUDED_SEPARATE_B1_PILOT_PROVENANCE_ONLY,False,,,,0,0,0,0,True,TERMINAL_VALID
36415,2,36490,odeedit_orbode_ns_b1,COMPLETED,0:0,00:35:21,2026-09-04T23:55:19,2026-09-05T00:30:40,devbox,b1-tech-r1,B1_PILOT,15fd9579821695270c8d7a3e9b8759f9cd360d93,EXCLUDED_SEPARATE_B1_PILOT_PROVENANCE_ONLY,False,,,,0,0,0,0,True,TERMINAL_VALID
36415,3,36415,odeedit_orbode_ns_b1,COMPLETED,0:0,00:36:18,2026-09-04T23:56:47,2026-09-05T00:33:05,devbox,b1-tech-r1,B1_PILOT,15fd9579821695270c8d7a3e9b8759f9cd360d93,EXCLUDED_SEPARATE_B1_PILOT_PROVENANCE_ONLY,False,,,,0,0,0,0,True,TERMINAL_VALID
36613,0,36614,odeedit_orbode_ns_r0,COMPLETED,0:0,01:22:32,2026-09-05T00:36:50,2026-09-05T01:59:22,devbox,round0-tech-r2,CANONICAL_B100,15fd9579821695270c8d7a3e9b8759f9cd360d93,INCLUDED_CANONICAL_SCIENTIFIC_DENOMINATOR,False,,,,0,0,0,0,True,TERMINAL_VALID
36613,1,36615,odeedit_orbode_ns_r0,COMPLETED,0:0,01:28:51,2026-09-05T00:36:50,2026-09-05T02:05:41,devbox,round0-tech-r2,CANONICAL_B100,15fd9579821695270c8d7a3e9b8759f9cd360d93,INCLUDED_CANONICAL_SCIENTIFIC_DENOMINATOR,False,,,,0,0,0,0,True,TERMINAL_VALID
36613,2,36840,odeedit_orbode_ns_r0,COMPLETED,0:0,01:23:42,2026-09-05T01:59:47,2026-09-05T03:23:29,devbox,round0-tech-r2,CANONICAL_B100,15fd9579821695270c8d7a3e9b8759f9cd360d93,INCLUDED_CANONICAL_SCIENTIFIC_DENOMINATOR,False,,,,0,0,0,0,True,TERMINAL_VALID
36613,3,36613,odeedit_orbode_ns_r0,COMPLETED,0:0,01:28:31,2026-09-05T02:05:47,2026-09-05T03:34:18,devbox,round0-tech-r2,CANONICAL_B100,15fd9579821695270c8d7a3e9b8759f9cd360d93,INCLUDED_CANONICAL_SCIENTIFIC_DENOMINATOR,False,,,,0,0,0,0,True,TERMINAL_VALID
