requirement,rule,file,function,line,source_sha256,evidence,status,limit
cold/common/input,W0/M0/model revision/FP32/TF32/seed/prefix/context/P4,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/source/project/run_scripts/single_layer_edit_preserving_correction/runtime.py,Runtime.__init__,25,43576f0aef03beb45409bc9d08ae798ae089ee7f7288b7bbf7a928d03c0c2de7,runtime-load + B001 ENTRY + lock,SOURCE_CONFIRMED_AND_STORED_CONSISTENT,Full model reload not performed
own native B2+,"own entry W/M + current 100, one native z per request",/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/source/project/run_scripts/single_layer_edit_preserving_correction/sequential_runtime.py,SequentialRuntime.native_batch,37,32bc7d0d5c79aaa1fbbc81f35942dd5a000e343a4d24f007d2925c6ceaad9d5f,native-binding + target tensors + prior commit,CPU_STORED_EVIDENCE_CONSISTENT,Native solver not rerun
K_E union,"native/canonical old+new, all valid token prefixes, no pad/EOS/P-N",/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/source/project/run_scripts/single_layer_edit_preserving_correction/binding.py,protected_sequences,12,120e9806a17e9818b0b4bf7a6e48fd772351fcd80360ee64899637054089fa6f,protected-provenance 1400 rows per batch and key aliases,SOURCE_CONFIRMED_AND_STORED_CONSISTENT,Full captured K_E is not retained
actual key dedup,only same prefix AND exact FP32 key bytes,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/source/project/run_scripts/single_layer_edit_preserving_correction/runtime.py,Runtime.protected_oracle,152,43576f0aef03beb45409bc9d08ae798ae089ee7f7288b7bbf7a928d03c0c2de7,key hash/shape/actual alias mapping,SOURCE_CONFIRMED_AND_STORED_CONSISTENT,Cannot re-capture keys CPU-only
allowed null space,Q=V(I-UU^T)V^T; fixed rank cutoff and ambiguity band,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/source/project/run_scripts/single_layer_edit_preserving_correction/geometry.py,edit_null_space,337,9c11d70d16aa3b7265b123c1caa28cc2cf4f1122e7447db8c1eb90c796a50e7a,space/factors + singular spectrum arithmetic,CPU_STORED_EVIDENCE_CONSISTENT,"No new SVD, P-star original technical certification incomplete"
all-token candidate,"full weight F.linear(cache.keys,W)+residual, all downstream layers",/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/source/project/run_scripts/single_layer_edit_preserving_correction/alltoken.py,FullWeightLlamaOracle.suffix_hidden,294,a0c2a6791b3cd9cde2dfaf3dea26277f5d0d2fb0c1c5a415883af058e3ba6b95,oracle-work cached suffix and post-selection physical official observer,SOURCE_CONFIRMED,No physical-versus-cached parity rerun
signed full-vocab KL,"FP32 logsoftmax then signed FP64 p0*(logp0-logp), no clamp",/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/source/project/run_scripts/single_layer_edit_preserving_correction/alltoken.py,signed_forward_kl,52,a0c2a6791b3cd9cde2dfaf3dea26277f5d0d2fb0c1c5a415883af058e3ba6b95,S64 doc means and Dev128,CPU_SCALAR_REDUCTION_CONSISTENT,Teacher full payload prior identity reused
gradient sweep,one S64 sweep at own WN; separate from observer,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/source/project/run_scripts/single_layer_edit_preserving_correction/alltoken.py,FullWeightLlamaOracle.kl,447,a0c2a6791b3cd9cde2dfaf3dea26277f5d0d2fb0c1c5a415883af058e3ba6b95,9 new sweeps + B1 saved gradient reuse,SOURCE_AND_COUNTERS_CONFIRMED,FD/direct-gradient NOT_ESTABLISHED
Polyak/Armijo,"eta=L/chi, .5 halving, 1 gradient/8 trials, first accepted",/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/source/project/run_scripts/single_layer_edit_preserving_correction/optimizer.py,optimize,210,0c602dc58fd40ade4e13673483d025cc77a55d196a8aa9bcce463a6fe6a08db8,"20 trials, 10 accepted; actual p recomputed from CPU stored tensors",CPU_STORED_ARITHMETIC_CONSISTENT,No optimizer rerun or new trial
individual Current/Past guard,each new NLL+1e-4; exact strict/pair success-ID subset; no plateau,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/source/project/run_scripts/single_layer_edit_preserving_correction/binding.py,quality_ok,49,120e9806a17e9818b0b4bf7a6e48fd772351fcd80360ee64899637054089fa6f,14 saved guard row panels independently checked,CPU_RESELECTION_CONSISTENT,Past64 is not all past requests
