cell,arm,batches,requests,W_links,M_links,fixed_z_compute,recompute,history_append_batches,terminal_restore
LM,O,10,1000,9,9,1000,0,0,True
LM,QCL,10,1000,9,9,1000,0,0,True
LM,NQFIX,10,1000,9,9,1000,0,0,True
LM,ORBFH,10,1000,9,9,1000,0,0,True
LM,JAC,10,1000,9,9,1000,0,0,True
LA,O,10,1000,9,9,1000,0,10,True
LA,QCL,10,1000,9,9,1000,0,10,True
LA,NQFIX,10,1000,9,9,1000,0,10,True
LA,ORBFH,10,1000,9,9,1000,0,10,True
LA,JAC,10,1000,9,9,1000,0,10,True
QM,O,10,1000,9,9,1000,0,0,True
QM,QCL,10,1000,9,9,1000,0,0,True
QM,NQFIX,10,1000,9,9,1000,0,0,True
QM,ORBFH,10,1000,9,9,1000,0,0,True
QM,JAC,10,1000,9,9,1000,0,0,True
QA,O,10,1000,9,9,1000,0,10,True
QA,QCL,10,1000,9,9,1000,0,10,True
QA,NQFIX,10,1000,9,9,1000,0,10,True
QA,ORBFH,10,1000,9,9,1000,0,10,True
QA,JAC,10,1000,9,9,1000,0,10,True
