model,candidate,case_id,request_sha256,metric,prompt_count,success_n,strict_success,strict_teacher_forced,target_new_nll_mean,target_true_nll_mean,target_new_nll_max,nll_advantage_mean
llama3-8b-inst,PRE_EDIT,8215,0403b26a9d7bbdcd333cf775d9f92c79dff5cc10a8e74c8215b6c27d41bc1c2f,RS,1,0,0,0,11.255698204040527,3.350526809692383,11.255698204040527,-7.9051713943481445
llama3-8b-inst,PRE_EDIT,21618,6604774017b5c6eb380457103d52f5e7efd563005bb69f3aef4c02cbc7e446b6,RS,1,0,0,0,13.399285316467285,5.433617115020752,13.399285316467285,-7.965668201446533
llama3-8b-inst,PRE_EDIT,18193,c25fccd16947f9896b9362f2fc3645c30a991b4c1298446ca35f3c15872dff7f,RS,1,0,0,0,12.092236518859863,5.443100452423096,12.092236518859863,-6.649136066436768
llama3-8b-inst,PRE_EDIT,1905,e2f1cf625b2585402c593f90cc775d62c2e4a7bce663c796e74f7fe26e355b29,RS,1,1,1,0,3.5222225189208984,6.366463661193848,3.5222225189208984,2.844241142272949
llama3-8b-inst,PRE_EDIT,18032,263e0a837d0fc67cd0549e4b89f1de6d301f3d7de450243f0b59c848dc28f77e,RS,1,0,0,0,14.938920974731445,11.078518867492676,14.938920974731445,-3.8604021072387695
llama3-8b-inst,PRE_EDIT,8597,57a57fb08af33302fbd083d836b2893ce0e7d03d27dc3247b5aa91d9acde086b,RS,1,0,0,0,15.975238800048828,11.045284271240234,15.975238800048828,-4.929954528808594
llama3-8b-inst,PRE_EDIT,5379,39224f0d5c48b9fed23284c9407179934beea5c96c1add706be581eadb20fd7b,RS,1,0,0,0,10.921327590942383,10.47079086303711,10.921327590942383,-0.45053672790527344
llama3-8b-inst,PRE_EDIT,371,2d11372e873f5cebb31294c2ffd99d260948fe5eaa3651aaf3a2f538bba4c006,RS,1,0,0,0,6.396392345428467,0.04275551065802574,6.396392345428467,-6.353636834770441
llama3-8b-inst,PRE_EDIT,14488,aa99fa19546af974313677835121470b7147f178d89dca23a7d178f861781745,RS,1,0,0,0,13.899673461914062,5.669200897216797,13.899673461914062,-8.230472564697266
llama3-8b-inst,PRE_EDIT,12143,0a23ff52a1afe49174bc0fbcd4fcd5e93f3e3d318d37a318865205acbde5ab36,RS,1,0,0,0,7.554609775543213,5.0726399421691895,7.554609775543213,-2.4819698333740234
