model,path_id,case_id,request_sha256,observed_nodes,status,first_observed_hit_node,first_observed_hit_time,terminal_strict,transient_hit_terminal_miss,entry_already_hit,first_hit_controls_dynamics
llama3-8b-inst,S-PATH-T4,8215,0403b26a9d7bbdcd333cf775d9f92c79dff5cc10a8e74c8215b6c27d41bc1c2f,8,POST_NODE_OBSERVATION_ONLY,1,0.5,True,False,NOT_RECORDED_SCHEMA_GAP,False
llama3-8b-inst,S-PATH-T4,21618,6604774017b5c6eb380457103d52f5e7efd563005bb69f3aef4c02cbc7e446b6,8,POST_NODE_OBSERVATION_ONLY,2,1.0,True,False,NOT_RECORDED_SCHEMA_GAP,False
llama3-8b-inst,S-PATH-T4,18193,c25fccd16947f9896b9362f2fc3645c30a991b4c1298446ca35f3c15872dff7f,8,POST_NODE_OBSERVATION_ONLY,3,1.5,True,False,NOT_RECORDED_SCHEMA_GAP,False
llama3-8b-inst,S-PATH-T4,1905,e2f1cf625b2585402c593f90cc775d62c2e4a7bce663c796e74f7fe26e355b29,8,POST_NODE_OBSERVATION_ONLY,1,0.5,True,False,NOT_RECORDED_SCHEMA_GAP,False
llama3-8b-inst,S-PATH-T4,18032,263e0a837d0fc67cd0549e4b89f1de6d301f3d7de450243f0b59c848dc28f77e,8,POST_NODE_OBSERVATION_ONLY,2,1.0,True,False,NOT_RECORDED_SCHEMA_GAP,False
llama3-8b-inst,S-PATH-T4,8597,57a57fb08af33302fbd083d836b2893ce0e7d03d27dc3247b5aa91d9acde086b,8,POST_NODE_OBSERVATION_ONLY,2,1.0,True,False,NOT_RECORDED_SCHEMA_GAP,False
llama3-8b-inst,S-PATH-T4,5379,39224f0d5c48b9fed23284c9407179934beea5c96c1add706be581eadb20fd7b,8,POST_NODE_OBSERVATION_ONLY,4,2.0,True,False,NOT_RECORDED_SCHEMA_GAP,False
llama3-8b-inst,S-PATH-T4,371,2d11372e873f5cebb31294c2ffd99d260948fe5eaa3651aaf3a2f538bba4c006,8,POST_NODE_OBSERVATION_ONLY,1,0.5,True,False,NOT_RECORDED_SCHEMA_GAP,False
llama3-8b-inst,S-PATH-T4,14488,aa99fa19546af974313677835121470b7147f178d89dca23a7d178f861781745,8,POST_NODE_OBSERVATION_ONLY,2,1.0,True,False,NOT_RECORDED_SCHEMA_GAP,False
llama3-8b-inst,S-PATH-T4,12143,0a23ff52a1afe49174bc0fbcd4fcd5e93f3e3d318d37a318865205acbde5ab36,8,POST_NODE_OBSERVATION_ONLY,1,0.5,True,False,NOT_RECORDED_SCHEMA_GAP,False
