entry,batch_raw,arm,bank,case_id,identity,new_nll,prompt_index,success,true_nll,entry_success,W0_success,inherited_success_change,additional_success_change,inherited_true_nll,additional_true_nll,entry_success_to_failure,entry_failure_to_success,W0_success_inherited_loss_recovered
Early,100,BF8,Base,20408,1e52eb67c975a5c3cebb40c016b4803b5a4abc0116263ef8f146df038c04e42e,10.188867568969727,0,True,3.6150217056274414,True,True,0,0,-1.275960922241211,0.7323064804077148,False,False,False
Early,100,BF8,Base,20408,d71f215ca8f10e74400b2389e76bb82d4211d8c2c7dfd459196b7beccd9bd24a,12.17421817779541,1,True,6.742352485656738,True,True,0,0,1.7476229667663574,0.464566707611084,False,False,False
Early,100,BF8,Base,20408,ef97b86f4d8e42fbf48935b0745c0181ef9cf9b5513936c2313f4d0251a83a07,11.830378532409668,2,True,6.861074447631836,True,True,0,0,1.9576706886291504,0.5227513313293457,False,False,False
Early,100,BF8,Base,20408,b1c84309bd11631bbb3d965d29f67fd71e287a96b79538164b7a0fb3f001a688,13.23684024810791,3,True,2.191581964492798,True,True,0,0,-0.7993388175964355,-0.1612250804901123,False,False,False
Early,100,BF8,Base,20408,df3e59f6839367c736f5b57cbc22c2df6f61bbf6aafbf14ba9944e69b6d53ad3,11.735069274902344,4,True,6.904688835144043,True,True,0,0,1.8340167999267578,0.47238636016845703,False,False,False
Early,100,BF8,Base,20408,501223a45e3be0335a7770f10cf445986c49839ed39b2e2b638e9e9cdd00d797,10.788775444030762,5,True,7.155243873596191,True,True,0,0,0.9469480514526367,0.07937955856323242,False,False,False
Early,100,BF8,Base,20408,66063a3b90076ff9cdb9849339dc20ee23a3326883f87c04e3f15f5e4f604ee7,11.122894287109375,6,True,6.881209850311279,True,True,0,0,4.44781494140625,1.1364870071411133,False,False,False
Early,100,BF8,Base,20408,d0e61b6ffc31c017d0de5046ef04b56ab232b9b93f326c93048e744c10c3568b,9.131887435913086,7,True,2.1734371185302734,True,True,0,0,1.0358830690383911,-0.48018455505371094,False,False,False
Early,100,BF8,Base,20408,36d60393128d3aea2bc01e434c05cc1879fd64dbd9c7d232d99f540fdda814b9,11.801258087158203,8,True,7.124800682067871,True,True,0,0,1.938558578491211,0.44376659393310547,False,False,False
Early,100,BF8,Base,20408,e1852ace25c12aa5e1293c388adb8f06e4eb1afa80c8b59ed2a2359dbef96b49,8.27007007598877,9,True,3.7127745151519775,True,True,0,0,-1.6081619262695312,-0.003895998001098633,False,False,False
Early,100,BF8,Base,8286,30b2c79fe764ec738ed33de9e3b7d860c4965d1bda85d32cb790c2327196acac,10.234374046325684,0,True,1.399572730064392,True,True,0,0,0.1780925989151001,-0.12710785865783691,False,False,False
Early,100,BF8,Base,8286,5be8c011f60d7ec5cd2f2ce8d48ebf8432d0f14f2085d1e4686165004667f246,9.955523490905762,1,True,0.47208935022354126,True,True,0,0,-0.19447839260101318,-0.03205472230911255,False,False,False
