phase,cell_id,status,evidence,numerical_equivalence
E1,E1-W000-early,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/early/capture.json,SEE_CONFORMANCE
E1,E1-W000-middle,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/middle/capture.json,SEE_CONFORMANCE
E1,E1-W000-onset,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/onset/capture.json,SEE_CONFORMANCE
E1,E1-W000-late,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/late/capture.json,SEE_CONFORMANCE
E1,E1-W010-early,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W010/native/early/capture.json,SEE_CONFORMANCE
E1,E1-W010-middle,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W010/native/middle/capture.json,SEE_CONFORMANCE
E1,E1-W010-onset,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W010/native/onset/capture.json,SEE_CONFORMANCE
E1,E1-W010-late,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W010/native/late/capture.json,SEE_CONFORMANCE
E1,E1-W050-early,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W050/native/early/capture.json,SEE_CONFORMANCE
E1,E1-W050-middle,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W050/native/middle/capture.json,SEE_CONFORMANCE
E1,E1-W050-onset,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W050/native/onset/capture.json,SEE_CONFORMANCE
E1,E1-W050-late,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W050/native/late/capture.json,SEE_CONFORMANCE
E1,E1-W070-early,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W070/native/early/capture.json,SEE_CONFORMANCE
E1,E1-W070-middle,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W070/native/middle/capture.json,SEE_CONFORMANCE
E1,E1-W070-onset,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W070/native/onset/capture.json,SEE_CONFORMANCE
E1,E1-W070-late,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W070/native/late/capture.json,SEE_CONFORMANCE
E1,E1-W080-early,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W080/native/early/capture.json,SEE_CONFORMANCE
E1,E1-W080-middle,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W080/native/middle/capture.json,SEE_CONFORMANCE
E1,E1-W080-onset,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W080/native/onset/capture.json,SEE_CONFORMANCE
E1,E1-W080-late,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W080/native/late/capture.json,SEE_CONFORMANCE
E1,E1-W090-early,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W090/native/early/capture.json,SEE_CONFORMANCE
E1,E1-W090-middle,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W090/native/middle/capture.json,SEE_CONFORMANCE
E1,E1-W090-onset,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W090/native/onset/capture.json,SEE_CONFORMANCE
E1,E1-W090-late,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W090/native/late/capture.json,SEE_CONFORMANCE
E1,E1-W100-early,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W100/native/early/capture.json,SEE_CONFORMANCE
E1,E1-W100-middle,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W100/native/middle/capture.json,SEE_CONFORMANCE
E1,E1-W100-onset,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W100/native/onset/capture.json,SEE_CONFORMANCE
E1,E1-W100-late,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W100/native/late/capture.json,SEE_CONFORMANCE
E2,E2-W80-000,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W080/000/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W80-001,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W080/001/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W80-010,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W080/010/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W80-011,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W080/011/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W80-100,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W080/100/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W80-101,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W080/101/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W80-110,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W080/110/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W80-111,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W080/111/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W80-upper-control,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W080/upper-control-parity.json,SEE_CONFORMANCE
E2,E2-W100-000,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W100/000/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W100-001,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W100/001/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W100-010,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W100/010/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W100-011,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W100/011/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W100-100,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W100/100/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W100-101,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W100/101/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W100-110,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W100/110/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W100-111,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W100/111/calibration512/capture.json,SEE_CONFORMANCE
E2,E2-W100-upper-control,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E2/W100/upper-control-parity.json,SEE_CONFORMANCE
E3,E3-W50-B51,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r4/writers/W050/NATIVE/write/terminal.json,SEE_CONFORMANCE
E4-H,E4-W50-SHAM,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r4/writers/W050/SHAM/write/terminal.json,OBSERVATION_ONLY_NOT_GENERAL_PASS
E4-H,E4-W50-H5,COMPLETED,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r4/writers/W050/H5/write/terminal.json,OBSERVATION_ONLY_NOT_GENERAL_PASS
