requirement,frozen_source,file,function,lines,sha256,status,evidence_limit
original baseline/source/precision,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/runtime.py,__init__,23,b456b798cd971ec0ad9e812f4bfb698c68bf132318f750dc044fcf09d7578fba,PASS_SOURCE_AND_RUNTIME_BINDING,"G0 READY; input binding; blue=False,L4..8,L2=10; TF32 matmul off/cuDNN on"
W/M/context/RNG branch restore,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/runtime.py,restore,121,b456b798cd971ec0ad9e812f4bfb698c68bf132318f750dc044fcf09d7578fba,PASS_RUNTIME_RECEIPTS_LIMITED,entry-terminal and observer hashes; no independent full W/M GPU continuation
native100 once per entry / shared z only,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/writer_runner.py,run_writers,142,645b9913628d6f7121b70acf6a63bcc6e11ba530b8ad9e5339bc42301c8056c4,PASS_COUNTER_AND_ORDER,400 total target requests; r4 new300/reuse100; branch downstream fresh
native original function instrumented not replaced,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/native_writer.py,write,571;108,9c16a5f6bf024dca9ab40f3965f0563606116b26c2961b469ea0bc2f3d861493,SOURCE_PATH_AND_RECEIPTS,original_function_called; five divisors/final L8; native source retained
same entry NATIVE vs SHAM numerical control,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/writer_runner.py,verify_sham,52,645b9913628d6f7121b70acf6a63bcc6e11ba530b8ad9e5339bc42301c8056c4,OBSERVATION_ONLY_USER_DIRECTED,all4 SHAM nonexact differences retained; not equivalence PASS
N/P observer-only,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/writer_runner.py,__call__,113,645b9913628d6f7121b70acf6a63bcc6e11ba530b8ad9e5339bc42301c8056c4,PASS_SOURCE_AND_NONMUTATION,fixed branches; no outcome-selected subset; N512 never basis
all512 history/no success filtering,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/interventions.py,_bank,100,bded2f4dbfa6e79fd4ea02047ac12b9641a8d82a51f67db11b429c38775537ce,PASS_SOURCE_AND_IDENTITIES,512 columns/stat weights; functional overwrite mask separate
temporary M_eff / native persistent history,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/interventions.py,history_operand,121,bded2f4dbfa6e79fd4ea02047ac12b9641a8d82a51f67db11b429c38775537ce,PASS_SOURCE_AND_RECEIPTS,ephemeral operand; history120 appends once/layer; no M refresh
geometry raw/center/unit/context/mean,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/geometry_runner.py,run_geometry,412,2e6418c77845e312882c6dd1203a5279370e9c372d290fbe078051c0c07cc5da,PASS_ARITHMETIC_WITH_LIMIT,33040 spectrum rows recomputed; 4 CPU tensor samples; no fresh model
calibration512 vs assessment3488,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/geometry_runner.py,run_geometry,412,2e6418c77845e312882c6dd1203a5279370e9c372d290fbe078051c0c07cc5da,PASS_CASE_SET_CHECK,18 families x512+4x872 disjoint; no aggregate3488 Gram claimed
upper negative control,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/geometry_runner.py,_upper_control,367,2e6418c77845e312882c6dd1203a5279370e9c372d290fbe078051c0c07cc5da,PASS_SAVED_ACTUAL,W80/W100 K6/K7 exact identity; not new forward
component all valid tokens/full physical,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/component_runner.py,full_hook_parity,171,532ce41aedc71902dd6036bd3ad9f720cde07848fbbd8cf7315d1df6ad293044,PASS_BOUNDED_ACTUAL_ONLY,8 small-panel full physical exact; sum route nonzero recorded
component vs weight intervention separated,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/component_runner.py,run_components,340,532ce41aedc71902dd6036bd3ad9f720cde07848fbbd8cf7315d1df6ad293044,PASS_SOURCE_ENDPOINT_SEALS,mean/centered inference hooks not weight methods
rank1 direction/norm-control definition,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/interventions.py,weight_ablation,318,bded2f4dbfa6e79fd4ea02047ac12b9641a8d82a51f67db11b429c38775537ce,DEFINED_ALL8_QUALITY_NOT_MATCHED,calibration-only direction; quality matching NOT_ESTABLISHED
rank1/2/4 key interchange,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/interventions.py,calibration_key_basis,385,bded2f4dbfa6e79fd4ea02047ac12b9641a8d82a51f67db11b429c38775537ce,DEFINED_ALL24,calibration-only; inference not writer operand intervention
K/R same receiving W/P/M/lambda,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/component_runner.py,run_components,340,532ce41aedc71902dd6036bd3ad9f720cde07848fbbd8cf7315d1df6ad293044,PASS_8_MATRICES,32 actual endpoints; same receiving/P/M hashes; no suffix write
observer postseal / W/M/RNG nonmutation,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/component_runner.py,_seal_observe,300,532ce41aedc71902dd6036bd3ad9f720cde07848fbbd8cf7315d1df6ad293044,PASS_RUNTIME_HASHES,"136 explicit before/after hashes, RNG restore; no model call in review"
full vocabulary TF/NLL definition,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/observer.py,evaluate_pairs,181,f594d87857d4d3fb5019e922465d7e4008a15e1795ed74dfb90fe5b88d2b9641,PASS_RAW_REDUCER,128256 vocab metadata; canonical ties=failure; TF lowest-ID tie separately
N512 W0-correct one-token selection,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/observer.py,evaluate_neighborhood512,325,f594d87857d4d3fb5019e922465d7e4008a15e1795ed74dfb90fe5b88d2b9641,PRIOR_SELECTION_BINDING_PLUS_CURRENT_RAW,"W0 correctness selection evidence reused, current TF independently reduced"
H512 overwrite/active/superseded,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/observer.py,history_masks,392,f594d87857d4d3fb5019e922465d7e4008a15e1795ed74dfb90fe5b88d2b9641,PASS_SOURCE_MASK_ARITHMETIC,statistics512; functional masks only; target identity not success
writer whitening algebra,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/writer_diagnostics.py,summarize,178,8a9b437c60f01bc648797d6b265c28aab6fe73bc2497e2bb4e3bc4ce4b02853a,DIAGNOSTIC_APPROXIMATION_ONLY,"stored P not exact projector; symmetrized native H, not ideal-P proof"
no new full-state CP,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/writer_runner.py,run_writers,142,645b9913628d6f7121b70acf6a63bcc6e11ba530b8ad9e5339bc42301c8056c4,PASS_DECLARED_AND_OUTPUT_INVENTORY,approved z/K/R/delta diagnostics retained; exact resume not established
autonomous queue / followup exclusions,a21cffa08d4cf86ed258acabdb786fba778f4dfb,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution-source-r4/project/run_scripts/alpha_key_concentration_causal/runner.py,main,42,a0cebd6e6bd6ee504eaa88def18aeaad15b9df46e19b0167c9d313e173c4c04c,PASS_SUBMISSION_AND_TERMINAL,94 families; 7 followups not submitted; no periodic monitor in review
