arm,batch,contrast,future_batches,metric,denominator,before,after,delta_pp,lost,gained,both_success,both_failure,conditional_loss_denominator,conditional_recovery_denominator,new_nll_delta_mean,new_nll_delta_median,new_nll_delta_p90,new_nll_delta_p95,new_nll_delta_p99,new_nll_delta_min,new_nll_delta_max,true_nll_delta_mean,true_nll_delta_median,true_nll_delta_p90,true_nll_delta_p95,true_nll_delta_p99,true_nll_delta_min,true_nll_delta_max,desired_margin_delta_mean,desired_margin_delta_median,desired_margin_delta_p90,desired_margin_delta_p95,desired_margin_delta_p99,desired_margin_delta_min,desired_margin_delta_max,desired_NLL_harmed
N4,1,ATWRITE_TO_W10,9,RS,100,100,100,0.0,0,0,100,0,100,0,0.03806199823651696,6.081594619899988e-05,0.002258685938431883,0.0046601899550296364,0.06056456565276751,-0.00287572480738163,3.724927959847264,-0.2996948480606079,-0.3231067657470703,0.9850568771362319,1.5289629459381102,2.1644555664062515,-3.4911117553710938,2.446390151977539,-0.3377568462971249,-0.3228327654651366,0.9852225497423219,1.5289683446091658,2.1648972776895987,-5.863250790047459,2.44642221488175,63
N4,1,ATWRITE_TO_W10,9,PS,200,194,195,0.5,0,1,194,5,194,6,-0.1671379236606299,-0.00029535737121477723,0.30656588748097396,0.778941679000854,1.8855613696575144,-10.361276358366013,2.8066606521606445,-0.18331221729516983,-0.18558049201965332,0.8077647924423216,1.4633576631546015,1.925493869781488,-6.693671703338623,3.4746713638305664,-0.016174293634539937,-0.05607602233067155,1.5272158145904537,1.9431062359362834,3.672338844835754,-3.014755368232727,4.3858323097229,94
N4,1,ATWRITE_TO_W10,9,NS,1000,865,814,-5.1,69,18,796,117,865,135,-1.285288004549453,-0.8822808265686035,0.8496329307556154,1.6296817779541002,4.188508977890011,-14.947309792041779,8.892877578735352,0.049751279678370335,-0.1022471934556961,2.036756944656374,3.5264469563961014,7.6910664933919906,-7.620120525360107,12.031471252441406,-1.3350392842278234,-0.6332996189594269,1.1466624021530152,1.887594509124755,3.545400820970534,-20.048130333423615,7.671677112579346,454
N4,2,ATWRITE_TO_W10,8,RS,100,100,100,0.0,0,0,100,0,100,0,0.05643479177626432,4.1238941776100546e-05,0.00195576030528173,0.008112263734801662,1.6946572814136784,-0.002541202586144209,2.504024416208267,-0.2329426145553589,-0.13546085357666016,0.8446100234985355,1.0693508148193356,2.2555290412902913,-3.418506145477295,3.8638315200805664,-0.28937740633162323,-0.13547061124700122,0.8447540918627059,1.069433929046863,2.2549659549276924,-4.752130724489689,3.86420513442863,56
N4,2,ATWRITE_TO_W10,8,PS,200,183,183,0.0,3,3,180,14,183,17,-0.08965971119410825,-0.003804851556196809,0.17285592555999751,0.5922440528869611,1.7492520523071227,-4.300073146820068,3.6767678260803223,0.14470963947474957,0.03971385955810547,1.2382164001464842,1.732460874319073,3.3470213954150663,-3.854466438293457,3.8622827529907227,0.2343693506688578,0.09415212273597717,1.3594592266017562,2.0827291108667847,5.175372720807791,-2.937985420227051,5.294296391308308,79
N4,2,ATWRITE_TO_W10,8,NS,1000,869,814,-5.5,70,15,799,116,869,131,-1.2604290101191729,-0.8804502487182617,0.6628872394561768,1.4994347095489473,3.1339276504516556,-13.634578787256032,10.382925927639008,0.23213798229309032,-0.018084274604916573,2.196312427520752,3.6563257932662925,9.490795350074766,-6.087529629468918,18.886823177337646,-1.492566992412263,-0.7869757413864136,0.9584990739822392,1.6072246491909024,3.4321012940257782,-25.192181431222707,9.92139619588852,481
N4,3,ATWRITE_TO_W10,7,RS,100,100,100,0.0,0,0,100,0,100,0,0.05237430275661609,8.496436748828273e-05,0.0020068573881872006,0.005079499573912472,0.06994773365792656,-0.0026176287792623043,5.161504305899143,-0.16922306060791015,-0.1363534927368164,0.5632622718811038,0.7210359573364254,1.0742910289764478,-2.856508255004883,2.507566452026367,-0.22159736336452623,-0.13651639397721738,0.5633035213817496,0.7217322321434035,1.0743006841151583,-5.534863509237766,2.5079773268516874,71
N4,3,ATWRITE_TO_W10,7,PS,200,190,192,1.0,1,3,189,7,190,10,0.001406393522520375,-0.0003277125651948154,0.32037526369094843,0.5008685588836665,2.0951719808578417,-2.0494658052921295,3.782893657684326,0.08058108728379011,0.024654865264892578,0.9668094158172607,1.3881025075912474,2.479208703041069,-2.446988105773926,4.318916320800781,0.07917469376126973,0.10057466384023428,0.9970324851572514,1.3504853606224054,2.807796975150698,-3.3098831176757812,4.437583824619651,94
N4,3,ATWRITE_TO_W10,7,NS,1000,861,799,-6.2,73,11,788,128,861,139,-0.9741148958994017,-0.6029295921325684,0.8400291442871095,1.3701309680938718,2.7733859658241267,-14.72580792568624,12.255560874938965,0.29856891003716735,-0.03763298690319061,2.0290790081024173,3.4031341433525055,7.897329991310834,-6.845547556877136,14.396600306034088,-1.272683805936569,-0.54716956615448,0.8919710636138917,1.458588480949401,2.6668368101119997,-26.36456491611898,6.200918197631836,469
N4,4,ATWRITE_TO_W10,6,RS,100,100,100,0.0,0,0,100,0,100,0,0.0060721155207284026,1.781360333552584e-05,0.0006634834455326201,0.001268863066798076,0.008054963112811842,-0.0026284707710146904,0.6036642235703766,-0.04720460891723633,0.05350160598754883,0.7429708480834963,1.3062553405761717,2.0151036262512214,-9.097224235534668,2.1444787979125977,-0.05327672443796473,0.05350672689382918,0.743087784847012,1.3070497433771378,2.0166500943979924,-9.700888459105045,2.1445874988494324,58
