arm,model,method,accepted_edit_count,age_stratum,request_denominator,metric,numerator,denominator,rate,tie_count,bit_vector_sha256,prompt_order_sha256,ordered_nll_pair_sha256,target_new_nll_n,target_new_nll_mean,target_new_nll_median,target_new_nll_p90,target_new_nll_max,target_true_nll_n,target_true_nll_mean,target_true_nll_median,target_true_nll_p90,target_true_nll_max,nll_advantage_n,nll_advantage_mean,nll_advantage_median,nll_advantage_p90,nll_advantage_max
LM,llama3-8b-inst,memit,1000,EARLY_FIRST_20PCT,200,RS,176,200,0.88,0,de4039edd09435ee5daf039aafd4102a61bc1ef307aa2e8db138178314395de6,7c847772552a0e205ec228c158d169f6b7671906497a366d68664872a9006145,6d67d2e6b547a17155fbc4486f0b114bfe8051ae9f4991fc09d5e68b8f3906c1,200,1.908861300964345,0.455829381942749,5.309932756423949,20.606212615966797,200,7.956230567246675,7.425168514251709,14.021283817291259,21.18941307067871,200,6.04736926628233,5.718937871046364,12.603142898716028,21.11128695309162
LM,llama3-8b-inst,memit,1000,EARLY_FIRST_20PCT,200,PS,328,400,0.82,0,daf342d3c89f88e90123df31f2731407775a0039de67a0a8fcfce1d1030551c6,acf6a8968ec41dcbbcd16062c95602f7f7ad4b2612cd84d27328a40d03bb3e7b,28cc19ca7c66f2763367dc6c17cee53b46a0e19c81779e69e1cbdbc20da879ab,400,2.7825434941106506,1.46346914768219,7.762600088119507,20.172945022583008,400,7.263522396245971,6.942663192749023,12.492800331115726,18.330650329589844,400,4.480978902135321,4.48391093686223,10.735219311714172,18.307290049269795
LM,llama3-8b-inst,memit,1000,EARLY_FIRST_20PCT,200,NS,1442,2000,0.721,0,fa69d9e793c9ae598fd279b90059bd88e278e7e8fa754da1196606a3c75b5421,30b6ebdd51432bf6257597f4e190f637c7308b58669f2d2d9a057f811b79c723,f685c0211bf212358599c1a612b8f41781bf831b079d4363bc7ff4b853af8534,2000,7.112254894245183,7.012313365936279,11.84922685623169,19.59942626953125,2000,4.652326639937004,4.008923768997192,9.297391319274904,18.439340591430664,2000,2.459928254308179,2.2788023948669434,8.031286513805394,15.91669511795044
LM,llama3-8b-inst,memit,1000,MIDDLE_60PCT,600,RS,571,600,0.9516666666666667,0,4b08484ef764f9b6cc0ad182d75317ce64dfb78a504a998edb641c17a8dca34e,2e182c8507c5318a157ccbe037c4764fe27866cf99b8082a722cbd85879cf259,4a9c753fcfceff7679791e2134753fe56a2bf268727f3af0733a31c8fe61e0c9,600,0.6961401006791251,0.04233193397521973,2.2213078975677494,12.422769546508789,600,9.554883710245292,9.413759231567383,15.280864238739015,22.330263137817383,600,8.858743609566167,8.932907716371119,15.09084202004888,22.329807147063548
LM,llama3-8b-inst,memit,1000,MIDDLE_60PCT,600,PS,1058,1200,0.8816666666666667,0,3f360a45ca69f23a5e14d147a3c6a25ba052e13f1437f918533b094928512047,6f0baff1a67b31cfcccdd78c8f9567de6664b87e28bd6f482242846131100fb2,9a3d11b90c2a700d9afd41904019492bb9c2e1d6b2c1d3554db033fd8af621eb,1200,1.8719084887067219,0.5682389140129089,5.790554714202884,16.612031936645508,1200,7.911537553126303,7.64348030090332,13.152503490447998,21.590526580810547,1200,6.0396290644195805,6.118870817124844,12.501000928133728,21.587682124227285
LM,llama3-8b-inst,memit,1000,MIDDLE_60PCT,600,NS,4339,6000,0.7231666666666666,0,1f5b20447b6f7f6ebfa12106d376b64d6e5c41110bca3d77a4ddd38a3a03f886,ba5c0391e6a3de6b1d90791bc8de7f859f7bb1bc9de379c0015076aab635c970,ed1b74691fc0f578fc88d5524088ed306f01bd83fb44f5f0479a4b3f192a08a0,6000,7.348886479352291,7.233342885971069,12.408628082275392,19.743860244750977,6000,4.568361168707081,3.961145281791687,9.272848224639894,21.192195892333984,6000,2.78052531064521,2.7005081176757812,8.79597272872925,17.91488403081894
LM,llama3-8b-inst,memit,1000,RECENT_LAST_20PCT,200,RS,200,200,1.0,0,8fec771a7f38946b499599d9c9af61d08ed9d261a8c7085d351842645cd111ae,3acab8da8547523ba34278c463c315215de2658507ba7b2eb7b1f0929f4edf27,a9724688e0ab8948d8221ef94c07c3a79eb7bb71e7678264ab2235a1c1dd90b8,200,0.054830102803789485,0.006691720802336931,0.030175185203552238,6.079247951507568,200,12.406204068660736,12.223802089691162,17.423501586914064,25.019447326660156,200,12.351373965856947,12.219468142022379,17.421547285921406,25.01912026986247
LM,llama3-8b-inst,memit,1000,RECENT_LAST_20PCT,200,PS,377,400,0.9425,0,2ccfe88c28b3edbb3b62667dba2420859a38d81fe918cb0ed26a1cbf59726c52,27a2e0c598278920f434561a629bb43e7b9b68667a04802b22c3d77334fefe98,b783ac1357765e655eda9f1fbeaf7c8c035476a3275abfc90c74038485ab5fa3,400,1.0734955698708655,0.09672661498188972,3.6504293203353915,11.706747055053711,400,9.682956072986126,9.454743385314941,14.908001613616946,23.809892654418945,400,8.60946050311526,8.64675423502922,14.408560037822465,23.809054844954517
LM,llama3-8b-inst,memit,1000,RECENT_LAST_20PCT,200,NS,1485,2000,0.7425,0,cc61f82b633741f17c61fa72a1d86195f7602dbebc7b5fada30e9ae393487c2b,c80ab13114bfd346b1356209a49bb94351a269443e83c9f9630689102f308c70,e0120cce199a99334a2520df7c66887838cf94b49530ea9ed22fd06cd7a70857,2000,7.377043180246954,7.459359407424927,12.189294624328614,21.857622146606445,2000,4.462460767503479,3.8389817476272583,9.102306842803964,18.04083251953125,2000,2.914582412743475,2.913447916507721,8.94476766586304,21.690813153982162
LM,llama3-8b-inst,memit,1500,EARLY_FIRST_20PCT,300,RS,157,300,0.5233333333333333,0,921354fb597ff43cf365bf4f8824ef9d0d7e6236f566b8db813698a1ae835faf,178470986f4797ae7498278967614c8794e93d1d03fddb3b34e4e4750fc93a0a,3023626c4b4f01674e702ffbfe6224037bd90f9004b2dd11ce03a3116deb52b8,300,5.057885227507601,4.307214975357056,10.104492568969727,16.306507110595703,300,5.2064013005793095,4.710024356842041,10.029419612884524,16.433109283447266,300,0.14851607307170828,0.1277637481689453,5.067286688834431,12.266866445541382
