state,family,variant,edits,invalid,bare_letter_invalid,alternative_ties
W0,W0,W0,0,15,0,0
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,12,0,0
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,13,0,0
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,15,0,0
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,14,0,0
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,21,0,0
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,28,0,0
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,26,0,0
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,23,0,0
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,26,0,0
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,38,0,0
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,33,0,0
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,39,0,0
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,10,0,0
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,14,0,0
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,14,0,0
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,8,0,0
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,17,0,0
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,46,0,0
AlphaEdit_L8_ONLY-edits05000,AlphaEdit,L8_ONLY,5000,55,0,0
AlphaEdit_L8_ONLY-edits06000,AlphaEdit,L8_ONLY,6000,48,0,0
AlphaEdit_L8_ONLY-edits07000,AlphaEdit,L8_ONLY,7000,75,0,0
AlphaEdit_L8_ONLY-edits08000,AlphaEdit,L8_ONLY,8000,93,0,0
AlphaEdit_L8_ONLY-edits09000,AlphaEdit,L8_ONLY,9000,91,0,0
AlphaEdit_L8_ONLY-edits10000,AlphaEdit,L8_ONLY,10000,95,0,0
AlphaEdit_ORIGINAL-edits00100,AlphaEdit,BLUE,100,12,0,0
AlphaEdit_ORIGINAL-edits00500,AlphaEdit,BLUE,500,13,0,0
AlphaEdit_ORIGINAL-edits01000,AlphaEdit,BLUE,1000,14,0,0
AlphaEdit_ORIGINAL-edits02000,AlphaEdit,BLUE,2000,14,0,0
AlphaEdit_ORIGINAL-edits03000,AlphaEdit,BLUE,3000,15,0,0
AlphaEdit_ORIGINAL-edits04000,AlphaEdit,BLUE,4000,12,0,0
AlphaEdit_ORIGINAL-edits05000,AlphaEdit,BLUE,5000,10,0,0
AlphaEdit_ORIGINAL-edits06000,AlphaEdit,BLUE,6000,10,0,0
AlphaEdit_ORIGINAL-edits07000,AlphaEdit,BLUE,7000,20,0,0
AlphaEdit_ORIGINAL-edits08000,AlphaEdit,BLUE,8000,27,0,0
AlphaEdit_ORIGINAL-edits09000,AlphaEdit,BLUE,9000,57,0,0
AlphaEdit_ORIGINAL-edits10000,AlphaEdit,BLUE,10000,76,0,0
MEMIT_L4_ONLY-edits00100,MEMIT,L4_ONLY,100,12,0,0
MEMIT_L4_ONLY-edits00500,MEMIT,L4_ONLY,500,11,0,0
MEMIT_L4_ONLY-edits01000,MEMIT,L4_ONLY,1000,13,0,0
