arm,batch,population,metric,group,prompt_denominator,request_denominator,numerator,rate,ties,request_all_success_numerator,order_sha256,bit_order_sha256,new_strict_numerator,new_strict_rate,new_request_all_strict_numerator,new_request_all_strict_rate,new_token_correct,new_token_denominator,new_token_accuracy,true_strict_numerator,true_strict_rate,true_request_all_strict_numerator,true_request_all_strict_rate,true_token_correct,true_token_denominator,true_token_accuracy
N4,51,historical,PS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,51,historical,NS,ALL,1280,128,883,0.68984375,0,36,44ffffbda00cae6fb736e66766f9335f3770a75bc0424d960da4e3f3546df901,8a915f1a193c960e920c62a3677b9726aff59a83f17e30a003d17a003d5aa4a1,73,0.05703125,0,0.0,73,1280,0.05703125,159,0.12421875,0,0.0,159,1280,0.12421875
N4,51,historical,NS,ACTIVE_TARGET,1240,124,859,0.692741935483871,0,35,a5877f0728f82ce6c3766b9a09a6887ba7c195abf4b87c8d0f6257a5d1f4382a,13738dd919dfde4dd3de262a9f59d9cb400c8bc1d97b98f026f574a41bbf9709,73,0.05887096774193548,0,0.0,73,1240,0.05887096774193548,159,0.1282258064516129,0,0.0,159,1240,0.1282258064516129
N4,51,historical,NS,SUPERSEDED,40,4,24,0.6,0,1,c783b8eee87ee1f8bdc0657262a67cfe71155effba81fc0256ecd9a309a7cf8c,cbfa484b295460cc285a9c2437b52cddd8b4c9ac9348f439234458ff14ef5130,0,0.0,0,0.0,0,40,0.0,0,0.0,0,0.0,0,40,0.0
N4,51,historical,NS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,52,current,RS,ALL,100,100,100,1.0,0,100,9ce14fa299ca8dcee036469556c46b98b8058b19a957abba146d23cab698a66d,903db6e08ea7635d3148674c9c9d994d8abec61200636dd219b1fd97a1a0b7f2,100,1.0,100,1.0,102,102,1.0,0,0.0,0,0.0,2,102,0.0196078431372549
N4,52,current,PS,ALL,200,100,195,0.975,0,96,a2d3501b7b4add5e26f73ee940339835c6ead2601d4bdaaab4a530aa82132d15,8d95b86e4a7f5a43d6a10664f5885024651133f5247c458a351414d17de26ef8,138,0.69,51,0.51,142,204,0.696078431372549,0,0.0,0,0.0,4,204,0.0196078431372549
N4,52,current,NS,ALL,1000,100,734,0.734,0,30,88ba3c689f3d6a35ab80cc7b9300205f6a6d1206dd54418e5ec38a0336879278,24243a4f219dad33c170fd6129a839e74c37d314cab34c774dc9c69171d73341,41,0.041,0,0.0,61,1020,0.059803921568627454,140,0.14,0,0.0,160,1020,0.1568627450980392
N4,52,historical,RS,ALL,128,128,128,1.0,0,128,49c3aa0410faa279cb4105f46dcb5a374a2ad1820e8bd1fae9da17f1739f4d01,4a46b72e59faaabc3052c4ef7c4ce238f9c15c4d2314ff222f161101c7e47ed4,125,0.9765625,125,0.9765625,125,128,0.9765625,0,0.0,0,0.0,0,128,0.0
N4,52,historical,RS,ACTIVE_TARGET,124,124,124,1.0,0,124,42205eaaa54bc134286058569563a5fd3947a246e604d53104f8ec1fa2e7c8c4,150786e9b79536f282a59aac9dbf153d0b81113f16bba40d37a26a340e9fc75e,123,0.9919354838709677,123,0.9919354838709677,123,124,0.9919354838709677,0,0.0,0,0.0,0,124,0.0
N4,52,historical,RS,SUPERSEDED,4,4,4,1.0,0,4,fdb2ce97a1f4c2950b450f0cb6b4295a515aa3c7d6060bbcbe0710517968f895,d595541fc3518759793416c68e211d8383688498b8a6ce23a74c78cc703a317e,2,0.5,2,0.5,2,4,0.5,0,0.0,0,0.0,0,4,0.0
N4,52,historical,RS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,52,historical,PS,ALL,256,128,251,0.98046875,0,123,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,6a841b456ba8899a78744763a635c058cf7341b8976a422557f7e26b608b8b3f,174,0.6796875,62,0.484375,174,256,0.6796875,0,0.0,0,0.0,0,256,0.0
N4,52,historical,PS,ACTIVE_TARGET,248,124,245,0.9879032258064516,0,121,3791f82e104a2ada4b398dc1db2a2264fb0af62a4e4bf6aef0a086422f32f1f0,e8bde470c5f54137d8a527bed7e9c2833ee52eb0574aabbcc0b457ff2570b13c,174,0.7016129032258065,62,0.5,174,248,0.7016129032258065,0,0.0,0,0.0,0,248,0.0
N4,52,historical,PS,SUPERSEDED,8,4,6,0.75,0,2,62062e6cb49887f32a1c76fdf17b099924e6047363e07cb4722f9c3296834b1c,b8a294f00f58945c4b2e7c769967b5694a66c8fb997582bf04d993c4a7d85ff2,0,0.0,0,0.0,0,8,0.0,0,0.0,0,0.0,0,8,0.0
N4,52,historical,PS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,52,historical,NS,ALL,1280,128,883,0.68984375,0,38,44ffffbda00cae6fb736e66766f9335f3770a75bc0424d960da4e3f3546df901,e9dfc8d5b040fbf34acc312edd399d81cb8d2fbc90324539a8fa7b5ccc3da777,78,0.0609375,0,0.0,78,1280,0.0609375,160,0.125,0,0.0,160,1280,0.125
N4,52,historical,NS,ACTIVE_TARGET,1240,124,859,0.692741935483871,0,37,a5877f0728f82ce6c3766b9a09a6887ba7c195abf4b87c8d0f6257a5d1f4382a,bc063d74bc64cb63dbc6ddc3a88ee6078a33a6b861abf55899cdff77d82f8661,78,0.06290322580645161,0,0.0,78,1240,0.06290322580645161,160,0.12903225806451613,0,0.0,160,1240,0.12903225806451613
N4,52,historical,NS,SUPERSEDED,40,4,24,0.6,0,1,c783b8eee87ee1f8bdc0657262a67cfe71155effba81fc0256ecd9a309a7cf8c,cbfa484b295460cc285a9c2437b52cddd8b4c9ac9348f439234458ff14ef5130,0,0.0,0,0.0,0,40,0.0,0,0.0,0,0.0,0,40,0.0
N4,52,historical,NS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,53,current,RS,ALL,100,100,100,1.0,0,100,7f26d60f9749d58c9df819bebcead3a696752da99a6280a5167af62ca9c29732,33c722daf0ae7f527ad3b83ebdd89187a6b1927c6399a9f75070ebb1be3a693c,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,0,100,0.0
N4,53,current,PS,ALL,200,100,189,0.945,0,93,69838fdc175506fda322d95cb3d281ee33e41fb39d7329c3cd2b2fbc7427e8cd,5ca65681003c57737ecba6dc7c79265c8b274c77406c364d60e4f95a50bff6de,128,0.64,46,0.46,132,204,0.6470588235294118,1,0.005,0,0.0,1,200,0.005
N4,53,current,NS,ALL,1000,100,688,0.688,0,29,446c7e39555f018d2da9397935e3c5b66c799af6006d56a66d76733a1136b493,9c6a45909ad49f0f595af18fe8f1cfaf30abff00c2965eff6f8da4fce7bad796,51,0.051,0,0.0,71,1020,0.0696078431372549,102,0.102,0,0.0,102,1000,0.102
N4,53,historical,RS,ALL,128,128,128,1.0,0,128,49c3aa0410faa279cb4105f46dcb5a374a2ad1820e8bd1fae9da17f1739f4d01,4a46b72e59faaabc3052c4ef7c4ce238f9c15c4d2314ff222f161101c7e47ed4,125,0.9765625,125,0.9765625,125,128,0.9765625,0,0.0,0,0.0,0,128,0.0
N4,53,historical,RS,ACTIVE_TARGET,124,124,124,1.0,0,124,42205eaaa54bc134286058569563a5fd3947a246e604d53104f8ec1fa2e7c8c4,150786e9b79536f282a59aac9dbf153d0b81113f16bba40d37a26a340e9fc75e,123,0.9919354838709677,123,0.9919354838709677,123,124,0.9919354838709677,0,0.0,0,0.0,0,124,0.0
N4,53,historical,RS,SUPERSEDED,4,4,4,1.0,0,4,fdb2ce97a1f4c2950b450f0cb6b4295a515aa3c7d6060bbcbe0710517968f895,d595541fc3518759793416c68e211d8383688498b8a6ce23a74c78cc703a317e,2,0.5,2,0.5,2,4,0.5,0,0.0,0,0.0,0,4,0.0
N4,53,historical,RS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,53,historical,PS,ALL,256,128,251,0.98046875,0,123,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,6a841b456ba8899a78744763a635c058cf7341b8976a422557f7e26b608b8b3f,175,0.68359375,62,0.484375,175,256,0.68359375,0,0.0,0,0.0,0,256,0.0
N4,53,historical,PS,ACTIVE_TARGET,248,124,245,0.9879032258064516,0,121,3791f82e104a2ada4b398dc1db2a2264fb0af62a4e4bf6aef0a086422f32f1f0,e8bde470c5f54137d8a527bed7e9c2833ee52eb0574aabbcc0b457ff2570b13c,175,0.7056451612903226,62,0.5,175,248,0.7056451612903226,0,0.0,0,0.0,0,248,0.0
N4,53,historical,PS,SUPERSEDED,8,4,6,0.75,0,2,62062e6cb49887f32a1c76fdf17b099924e6047363e07cb4722f9c3296834b1c,b8a294f00f58945c4b2e7c769967b5694a66c8fb997582bf04d993c4a7d85ff2,0,0.0,0,0.0,0,8,0.0,0,0.0,0,0.0,0,8,0.0
N4,53,historical,PS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,53,historical,NS,ALL,1280,128,881,0.68828125,0,38,44ffffbda00cae6fb736e66766f9335f3770a75bc0424d960da4e3f3546df901,3bf77de62893dacc5046f93f1fb07f39161a8909d7148325975d9c30af260dfb,77,0.06015625,0,0.0,77,1280,0.06015625,153,0.11953125,0,0.0,153,1280,0.11953125
N4,53,historical,NS,ACTIVE_TARGET,1240,124,858,0.6919354838709677,0,37,a5877f0728f82ce6c3766b9a09a6887ba7c195abf4b87c8d0f6257a5d1f4382a,e6f9a2d9f0596108881d3ccdba451e9fe45f7edfeb40eabe467b42a526ff9f91,77,0.062096774193548386,0,0.0,77,1240,0.062096774193548386,153,0.12338709677419354,0,0.0,153,1240,0.12338709677419354
N4,53,historical,NS,SUPERSEDED,40,4,23,0.575,0,1,c783b8eee87ee1f8bdc0657262a67cfe71155effba81fc0256ecd9a309a7cf8c,fe82c78a0d8a45f7c945dc74b23748465410219e2572cc94124454cbea92403c,0,0.0,0,0.0,0,40,0.0,0,0.0,0,0.0,0,40,0.0
N4,53,historical,NS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,54,current,RS,ALL,100,100,100,1.0,0,100,63dab5bd43b876c52366c45fba83139caadc18cb67f8a5561bb5d2186cda56ef,961c42f3a1ba74011412b357bd80a7dc35b0f1fd7c4b16d90bc505b615a5e6c2,100,1.0,100,1.0,101,101,1.0,0,0.0,0,0.0,1,101,0.009900990099009901
N4,54,current,PS,ALL,200,100,197,0.985,0,97,50ceaacb80c9191f982151d07b6f98987df5582543964d9d49363130a24514aa,c863292d5ecd3ae483ba101be7af5880503ea1c5be816f596e1f76027e48e477,148,0.74,59,0.59,150,202,0.7425742574257426,1,0.005,0,0.0,3,202,0.01485148514851485
N4,54,current,NS,ALL,1000,100,743,0.743,0,31,04f0fc6cc56c4906f43c0907eb00c1ee21d7fec182833d05ca03557c7a373e11,4d40cb014be7effaf2f8c9fd339649fdfd5cd359f1ab5b5f79ff5cdc28579a7d,55,0.055,0,0.0,65,1010,0.06435643564356436,106,0.106,0,0.0,116,1010,0.11485148514851486
N4,54,historical,RS,ALL,128,128,128,1.0,0,128,49c3aa0410faa279cb4105f46dcb5a374a2ad1820e8bd1fae9da17f1739f4d01,4a46b72e59faaabc3052c4ef7c4ce238f9c15c4d2314ff222f161101c7e47ed4,125,0.9765625,125,0.9765625,125,128,0.9765625,0,0.0,0,0.0,0,128,0.0
N4,54,historical,RS,ACTIVE_TARGET,124,124,124,1.0,0,124,42205eaaa54bc134286058569563a5fd3947a246e604d53104f8ec1fa2e7c8c4,150786e9b79536f282a59aac9dbf153d0b81113f16bba40d37a26a340e9fc75e,123,0.9919354838709677,123,0.9919354838709677,123,124,0.9919354838709677,0,0.0,0,0.0,0,124,0.0
N4,54,historical,RS,SUPERSEDED,4,4,4,1.0,0,4,fdb2ce97a1f4c2950b450f0cb6b4295a515aa3c7d6060bbcbe0710517968f895,d595541fc3518759793416c68e211d8383688498b8a6ce23a74c78cc703a317e,2,0.5,2,0.5,2,4,0.5,0,0.0,0,0.0,0,4,0.0
N4,54,historical,RS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,54,historical,PS,ALL,256,128,251,0.98046875,0,123,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,6a841b456ba8899a78744763a635c058cf7341b8976a422557f7e26b608b8b3f,178,0.6953125,64,0.5,178,256,0.6953125,0,0.0,0,0.0,0,256,0.0
N4,54,historical,PS,ACTIVE_TARGET,248,124,245,0.9879032258064516,0,121,3791f82e104a2ada4b398dc1db2a2264fb0af62a4e4bf6aef0a086422f32f1f0,e8bde470c5f54137d8a527bed7e9c2833ee52eb0574aabbcc0b457ff2570b13c,177,0.7137096774193549,64,0.5161290322580645,177,248,0.7137096774193549,0,0.0,0,0.0,0,248,0.0
N4,54,historical,PS,SUPERSEDED,8,4,6,0.75,0,2,62062e6cb49887f32a1c76fdf17b099924e6047363e07cb4722f9c3296834b1c,b8a294f00f58945c4b2e7c769967b5694a66c8fb997582bf04d993c4a7d85ff2,1,0.125,0,0.0,1,8,0.125,0,0.0,0,0.0,0,8,0.0
N4,54,historical,PS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,54,historical,NS,ALL,1280,128,871,0.68046875,0,38,44ffffbda00cae6fb736e66766f9335f3770a75bc0424d960da4e3f3546df901,6d8dc5d28c79c383c8a95107fc2b981afe47dae246aba2b71ea545242b8fcaa3,77,0.06015625,0,0.0,77,1280,0.06015625,154,0.1203125,0,0.0,154,1280,0.1203125
N4,54,historical,NS,ACTIVE_TARGET,1240,124,848,0.6838709677419355,0,37,a5877f0728f82ce6c3766b9a09a6887ba7c195abf4b87c8d0f6257a5d1f4382a,2c0a9dd253341d645c156906e98423291fb347b2abcd04b9f82e6a1eff987595,77,0.062096774193548386,0,0.0,77,1240,0.062096774193548386,154,0.12419354838709677,0,0.0,154,1240,0.12419354838709677
N4,54,historical,NS,SUPERSEDED,40,4,23,0.575,0,1,c783b8eee87ee1f8bdc0657262a67cfe71155effba81fc0256ecd9a309a7cf8c,fe82c78a0d8a45f7c945dc74b23748465410219e2572cc94124454cbea92403c,0,0.0,0,0.0,0,40,0.0,0,0.0,0,0.0,0,40,0.0
N4,54,historical,NS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,55,current,RS,ALL,100,100,100,1.0,0,100,cb5d11414d0e7099be33952159a14f5c17d54a39802c5f7c4acbd60a3bb2cbd6,e836680b194cf99fd70ecfacb3cbe6269a4e34298506833e713bee992449dadc,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,0,100,0.0
N4,55,current,PS,ALL,200,100,193,0.965,0,93,2ec5397f58ffbcdd16165d21bc9bf38110374bf9a5111fa28592f24012d40ada,bf8a9875a487a62ae978de998098add36ecef6432703ce3fd37b8d2d8ff78220,146,0.73,59,0.59,148,202,0.7326732673267327,0,0.0,0,0.0,0,200,0.0
N4,55,current,NS,ALL,1000,100,754,0.754,0,28,e43c12463676a0d861f7236688276f03651f8453e917aad17e8af4c022aa6571,2cc21e9733379de5b0a661401ab396242aba9cb42608f81bc30edcc10a7ce811,20,0.02,0,0.0,30,1010,0.0297029702970297,120,0.12,0,0.0,120,1000,0.12
N4,55,historical,RS,ALL,128,128,128,1.0,0,128,49c3aa0410faa279cb4105f46dcb5a374a2ad1820e8bd1fae9da17f1739f4d01,4a46b72e59faaabc3052c4ef7c4ce238f9c15c4d2314ff222f161101c7e47ed4,125,0.9765625,125,0.9765625,125,128,0.9765625,0,0.0,0,0.0,0,128,0.0
N4,55,historical,RS,ACTIVE_TARGET,124,124,124,1.0,0,124,42205eaaa54bc134286058569563a5fd3947a246e604d53104f8ec1fa2e7c8c4,150786e9b79536f282a59aac9dbf153d0b81113f16bba40d37a26a340e9fc75e,123,0.9919354838709677,123,0.9919354838709677,123,124,0.9919354838709677,0,0.0,0,0.0,0,124,0.0
N4,55,historical,RS,SUPERSEDED,4,4,4,1.0,0,4,fdb2ce97a1f4c2950b450f0cb6b4295a515aa3c7d6060bbcbe0710517968f895,d595541fc3518759793416c68e211d8383688498b8a6ce23a74c78cc703a317e,2,0.5,2,0.5,2,4,0.5,0,0.0,0,0.0,0,4,0.0
N4,55,historical,RS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,55,historical,PS,ALL,256,128,251,0.98046875,0,123,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,6a841b456ba8899a78744763a635c058cf7341b8976a422557f7e26b608b8b3f,179,0.69921875,66,0.515625,179,256,0.69921875,0,0.0,0,0.0,0,256,0.0
N4,55,historical,PS,ACTIVE_TARGET,248,124,245,0.9879032258064516,0,121,3791f82e104a2ada4b398dc1db2a2264fb0af62a4e4bf6aef0a086422f32f1f0,e8bde470c5f54137d8a527bed7e9c2833ee52eb0574aabbcc0b457ff2570b13c,178,0.717741935483871,66,0.532258064516129,178,248,0.717741935483871,0,0.0,0,0.0,0,248,0.0
N4,55,historical,PS,SUPERSEDED,8,4,6,0.75,0,2,62062e6cb49887f32a1c76fdf17b099924e6047363e07cb4722f9c3296834b1c,b8a294f00f58945c4b2e7c769967b5694a66c8fb997582bf04d993c4a7d85ff2,1,0.125,0,0.0,1,8,0.125,0,0.0,0,0.0,0,8,0.0
N4,55,historical,PS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,55,historical,NS,ALL,1280,128,868,0.678125,0,36,44ffffbda00cae6fb736e66766f9335f3770a75bc0424d960da4e3f3546df901,e29eff64fe3cec1edcd4f046e253458624b42f6b5ab4a62d616dd7f58c80882f,75,0.05859375,0,0.0,75,1280,0.05859375,147,0.11484375,0,0.0,147,1280,0.11484375
N4,55,historical,NS,ACTIVE_TARGET,1240,124,845,0.6814516129032258,0,35,a5877f0728f82ce6c3766b9a09a6887ba7c195abf4b87c8d0f6257a5d1f4382a,e3c5ef8e6b771d00e5de68367e08d80a6822552c8b1179a157dba030e711924d,75,0.06048387096774194,0,0.0,75,1240,0.06048387096774194,147,0.11854838709677419,0,0.0,147,1240,0.11854838709677419
N4,55,historical,NS,SUPERSEDED,40,4,23,0.575,0,1,c783b8eee87ee1f8bdc0657262a67cfe71155effba81fc0256ecd9a309a7cf8c,fe82c78a0d8a45f7c945dc74b23748465410219e2572cc94124454cbea92403c,0,0.0,0,0.0,0,40,0.0,0,0.0,0,0.0,0,40,0.0
N4,55,historical,NS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,55,suffix,RS,ALL,500,500,500,1.0,0,500,cd51ffcc82e26a0ea707888f7a025fe3a874c189e773a3e8cb4a59ee03191b4a,6e91db249630ec95c8b12fdd530d25176be43c530efa9f3741816906704f2b85,497,0.994,497,0.994,504,507,0.9940828402366864,0,0.0,0,0.0,6,506,0.011857707509881422
N4,55,suffix,RS,ACTIVE_TARGET,499,499,499,1.0,0,499,206f964aa828308f19dab42b2c31f1fa0888a8a2a24864cf863bb03a39c42b28,c304b93b8dc633a8654099d011b65c6c5f785bcd513ee861092c24bb69557ae5,497,0.9959919839679359,497,0.9959919839679359,504,506,0.9960474308300395,0,0.0,0,0.0,6,505,0.011881188118811881
N4,55,suffix,RS,SUPERSEDED,1,1,1,1.0,0,1,baaeb6932533c19e691c4188f2bfbe14635231ca0fce58c73249c980058d53cf,a0493637452e1c3d788cc5d45030e6446b00707dc300fec61b9de39d29ff984a,0,0.0,0,0.0,0,1,0.0,0,0.0,0,0.0,0,1,0.0
N4,55,suffix,RS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,55,suffix,PS,ALL,1000,500,971,0.971,0,476,1fa60daba09234d0046a195f933eb30fbe00efb6f5cce0b08eb081ab593377bb,eadcaa82b6d6a27b4799ffaa70f3bd6fe5cd800b84079e44dc319a3acd3b1d71,712,0.712,279,0.558,725,1014,0.7149901380670611,1,0.001,0,0.0,12,1012,0.011857707509881422
N4,55,suffix,PS,ACTIVE_TARGET,998,499,970,0.9719438877755511,0,476,0639803159111e6c0158c8d8ffb80d7b1adc735bbacabe85399ff4e3e2b1cf25,a8344599a107994a4a2c857294891a3b13401eff57c781dcf7da4ad42b106e9c,712,0.7134268537074149,279,0.5591182364729459,725,1012,0.7164031620553359,1,0.001002004008016032,0,0.0,12,1010,0.011881188118811881
N4,55,suffix,PS,SUPERSEDED,2,1,1,0.5,0,0,d6be93e1a1a3f61a3433c7b16bcc1becc85ea0f4cf05ec23f332b224214a02d4,c3f1d4039cf4765638dccbf53eee05908e1c370b5ef9b58211d2174bdd9937dc,0,0.0,0,0.0,0,2,0.0,0,0.0,0,0.0,0,2,0.0
