arm,batch,layer,incremental_frobenius,cumulative_path_frobenius_sum,checkpoint_net_from_W50,M_frobenius,M_delta_from_entry
N4,51,4,10.744016805221149,10.744016805221149,10.744016805219271,2811.5105773553096,95.20870861957903
N4,52,4,10.678217777081876,21.422234582303027,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
N4,53,4,10.945914739374993,32.36814932167802,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
N4,54,4,11.0059445006409,43.37409382231892,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
N4,55,4,10.89964087464689,54.27373469696581,24.272749420855153,3034.7235377216543,332.22339095965594
N4,56,4,10.8183808630139,65.0921155599797,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
N4,57,4,10.842677061431976,75.93479262141167,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
N4,58,4,10.695830917650246,86.63062353906192,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
N4,59,4,11.001470865088073,97.63209440415,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
N4,60,4,10.960966344788261,108.59306074893826,34.3356995615825,3303.830984346791,603.3442991295902
RES8,51,4,8.058012604245484,8.058012604245484,8.058012604245485,2811.5105773553096,95.20870861957903
RES8,51,8,6.044554162755819,6.044554162755819,6.044554162755788,8838.492113107483,242.5565567219611
RES8,52,4,7.999518166124014,16.057530770369496,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,52,8,6.265044650243314,12.309598812999134,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,53,4,8.193640616887588,24.251171387257084,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,53,8,6.731512813903217,19.04111162690235,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,54,4,8.22810100811778,32.47927239537486,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,54,8,6.829830978848195,25.870942605750542,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,55,4,8.137117565425966,40.61638996080083,18.166066483697975,3034.7235377216543,332.22339095965594
RES8,55,8,7.771001966210413,33.641944571960956,15.1107564309839,9597.003686227228,1021.5570323204765
RES8,56,4,8.06817988956899,48.68456985036982,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,56,8,6.858679348446919,40.500623920407875,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,57,4,8.081491512457738,56.76606136282756,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,57,8,6.982936374823105,47.48356029523098,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,58,4,7.958216008639653,64.72427737146721,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,58,8,6.888433148984214,54.37199344421519,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,59,4,8.175350109871559,72.89962748133877,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,59,8,8.222134818148769,62.59412826236396,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
RES8,60,4,8.149395771113689,81.04902325245246,25.63065103209079,3303.830984346791,603.3442991295902
RES8,60,8,7.268491885551769,69.86262014791573,22.19448570161532,10555.652835631243,1994.701333225922
S875,51,4,9.401014704139639,9.401014704139639,9.401014704119193,2811.5105773553096,95.20870861957903
S875,52,4,9.337712082715793,18.73872678685543,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S875,53,4,9.567582022461966,28.306308809317397,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S875,54,4,9.612801657441432,37.91911046675883,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S875,55,4,9.512371315855018,47.43148178261385,21.21350893512171,3034.7235377216543,332.22339095965594
S875,56,4,9.437420943966924,56.86890272658077,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S875,57,4,9.45498654969782,66.32388927627859,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S875,58,4,9.319096894525112,75.64298617080371,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S875,59,4,9.578547294527219,85.22153346533094,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S875,60,4,9.546548742291307,94.76808220762224,29.96818313684541,3303.830984346791,603.3442991295902
S75,51,4,8.058012604245484,8.058012604245484,8.058012604245485,2811.5105773553096,95.20870861957903
S75,52,4,7.9995071899784085,16.057519794223893,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S75,53,4,8.19260460596505,24.250124400188945,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S75,54,4,8.22693440882726,32.47705880901621,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S75,55,4,8.136619798993651,40.613678608009856,18.164376042152334,3034.7235377216543,332.22339095965594
S75,56,4,8.068523457153226,48.68220206516308,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S75,57,4,8.081882912331263,56.76408497749435,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S75,58,4,7.956948956656097,64.72103393415044,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S75,59,4,8.17426636163951,72.89530029578995,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
S75,60,4,8.147255393212891,81.04255568900284,25.627612816553604,3303.830984346791,603.3442991295902
FULL8,51,4,10.744016805221149,10.744016805221149,10.744016805219271,2811.5105773553096,95.20870861957903
FULL8,51,8,5.214695775836465,5.214695775836465,5.214695775836506,8830.574849848837,234.5442401077212
FULL8,52,4,10.678291871750806,21.422308676971955,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,52,8,2.7490280341548163,7.963723809991281,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,53,4,10.946397822288105,32.36870649926006,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,53,8,3.913603569731109,11.87732737972239,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,54,4,11.003858197063494,43.37256469632355,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,54,8,2.810720609890837,14.688047989613226,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,55,4,10.899972639793043,54.27253733611659,24.272077098338464,3034.7235377216543,332.22339095965594
