path,sha256,line,expression
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/AlphaEdit/AlphaEdit_main.py,79da927aad5ab817fd008c5958768adcd00556989a8efbaa2c4bdc80d8fc842e,58,if hparams.blue:
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/AlphaEdit/AlphaEdit_main.py,79da927aad5ab817fd008c5958768adcd00556989a8efbaa2c4bdc80d8fc842e,62,z_layer = layer
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/AlphaEdit/AlphaEdit_main.py,79da927aad5ab817fd008c5958768adcd00556989a8efbaa2c4bdc80d8fc842e,130,resid = targets  # Distribute residual across layers
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/AlphaEdit/AlphaEdit_main.py,79da927aad5ab817fd008c5958768adcd00556989a8efbaa2c4bdc80d8fc842e,220,resid = targets / (len(hparams.layers) - i)  # Distribute residual across layers
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/AlphaEdit/AlphaEdit_main.py,79da927aad5ab817fd008c5958768adcd00556989a8efbaa2c4bdc80d8fc842e,239,"cache_c[i,:,:] += layer_ks.cpu() @ layer_ks.cpu().T"
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/AlphaEdit/AlphaEdit_main.py,79da927aad5ab817fd008c5958768adcd00556989a8efbaa2c4bdc80d8fc842e,242,"return model, cache_c"
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/memit/memit_main.py,943a0da1a758692fc4b38c5d1203650795f441a3952df7a4814ffe40ee2567be,44,"deltas = execute_memit_blue(model, tok, requests, hparams, cache_template=cache_template)"
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/memit/memit_main.py,943a0da1a758692fc4b38c5d1203650795f441a3952df7a4814ffe40ee2567be,57,w[...] += upd_matrix.float()
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/memit/memit_main.py,943a0da1a758692fc4b38c5d1203650795f441a3952df7a4814ffe40ee2567be,201,"hparams.mom2_update_weight * cov.double() + layer_ks @ layer_ks.T,"
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/memit/memit_main.py,943a0da1a758692fc4b38c5d1203650795f441a3952df7a4814ffe40ee2567be,238,def execute_memit_blue(
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/memit/memit_main.py,943a0da1a758692fc4b38c5d1203650795f441a3952df7a4814ffe40ee2567be,372,"hparams.mom2_update_weight * cov.double() + layer_ks @ layer_ks.T,"
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/memit/memit_main.py,943a0da1a758692fc4b38c5d1203650795f441a3952df7a4814ffe40ee2567be,375,resid = targets  # Distribute residual across layers
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,24,"model=AutoModelForCausalLM.from_pretrained(lock['snapshot'],local_files_only=True,low_cpu_mem_usage=True,attn_implementation='eager').cuda().eval()"
